STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,Description,Facility Carried,Bridge Location,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,Year Built,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,FED_AGENCY,STATUS,Sufficiency Rating,Map Location
200091007203012,1,1,1,91,7,5,2875,'STEVENS RIVER           ','I 00091 ML        ','0.2 MI N EXIT 18         ',99.99,194.15799999999999,1,50000091,0,44180100,72031100,6,3,1,1,1,1976,5,0,6400,1998,5,12.8,1,21,0,N,N,N,N,5,0,0,0,A,1,5,1,19,0,0,2,0,13.4,6.7,13.7,0,0,0,0,99.99,N,0,N,0,0,N,N,N,7,7,5,54,5,32.4,7,N,N,5,8,8,,,,510,24,N  ,N  ,N  ,,,,,,,,1,N,1,,1,0,0,N,N,N,N,13,1,,Y,8,10048,2018,N,0,80.8,"(44180100, 72031100)"
200091008503112,1,1,1,91,7,5,62200,'I 91 OVER LV RR         ','I 00091 ML        ','3.4 MI N EXIT 20         ',99.99,209.05699999999999,1,50000091,0,44250600,72015500,3,3,1,1,11,1975,4,0,6000,1998,5,11.6,1,51,0,N,N,N,N,5,N,0,0,A,1,2,3,19,0,0,1,0,11.6,7.9,7.9,0,0,0,0,99.99,R,6.96,R,2.1,0,N,N,N,N,8,5,54,5,32.4,8,N,3,5,N,8,,,,610,24,N  ,N  ,N  ,,,,,,,,1,N,1,,1,0,0,N,N,N,N,13,1,,Y,N,9420,2018,N,2,77.900000000000006,"(44250600, 72015500)"
200019016S02022,2,3,4,902,,3,4825,'US 7 OVER BENN SH       ','US 00007 ML       ','0.2 MI E JCT VT 7A       ',6.15,0,,,,42552400,73122000,0,3,,,6,1973,2,2,1450,1996,,,,,,,,,,,,,,,1,1,3,2,,,,,17.399999999999999,41.1,42.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,N,2,,0,,,,,,,9,0,,,,,, ,,,"(42552400, 73122000)"
200091008703112,1,1,1,91,7,5,62200,'SLEEPERS  RIVER         ','I 00091 ML        ','0.2 MI S EXIT 21         ',99.99,209.958,1,50000091,0,44253400,72020000,0,3,1,1,11,1975,5,0,6000,1998,5,23.2,1,40,0,N,N,N,N,5,0,0,0,A,1,5,1,19,0,0,2,0,11.7,7.6,16.5,0,0,0,0,99.99,N,0,N,0,0,N,N,N,8,7,5,54,5,32.4,7,N,N,5,8,8,,,,610,24,N  ,N  ,N  ,,,,,,,,1,N,1,,1,0,0,N,N,N,N,13,1,,Y,8,9420,2018,N,0,83,"(44253400, 72020000)"
200091008N13022,1,1,1,91,2,25,7900,'I 91 OVER TH NO 5       ','I 00091 ML        ','1.2 MI S EXIT 3          ',5.03,16.620999999999999,1,250000091,0,42522000,72342600,2,3,1,1,11,1960,2,2,12850,1998,5,11.6,1,20,0,0,1,1,1,5,N,0,0,A,1,1,3,2,0,0,3,0,12.8,14.3,41.8,0.4,0.4,12.8,14.3,99.99,H,4.9,H,3,0,7,6,7,N,N,1,87.3,1,52.2,6,8,6,5,N,8,,,,410,24,N  ,N  ,N  ,,,,,,,,1,R,1,,1,0,0,1,6,2,0,13,1,,Y,N,20174,2018,N,0,96.8,"(42522000, 72342600)"
200091008S13022,1,1,1,91,2,25,7900,'I 91 OVER TH NO 5       ','I 00091 ML        ','1.2 MI S EXIT 3          ',4.8,16.620999999999999,1,250000091,0,42522000,72342700,2,3,1,1,11,1960,2,2,12850,1998,5,11.6,1,20,0,0,1,1,1,5,N,0,0,A,1,1,3,2,0,0,3,0,12.8,14.3,41.8,0.4,0.4,12.8,14.3,99.99,H,4.65,H,27.6,0,6,5,6,N,N,1,87.3,1,52.2,5,8,6,5,N,8,,,,410,24,N  ,N  ,N  ,,,,,,,,1,L,1,,1,0,0,1,6,2,0,13,1,,Y,N,20174,2018,N,0,85.6,"(42522000, 72342700)"
200091009403072,1,1,1,91,7,5,41725,'S. WHEELOCK BR PASM R   ','I 00091 ML        ','0.1 MI N EXIT 23 I 91    ',99.99,221.57499999999999,1,50000091,0,44311000,72002600,0,3,1,1,1,1972,6,0,4600,1998,5,23.2,1,11,0,N,N,N,N,5,0,0,0,A,1,5,1,19,0,0,2,0,15.8,4.6,9.4,0,0,0,0,99.99,N,0,N,0,0,N,N,N,8,7,5,54,5,32.4,7,N,N,5,8,8,,,,510,24,N  ,N  ,N  ,,,,,,,,1,N,1,,1,0,0,N,N,N,N,13,1,,Y,8,7222,2018,N,0,83,"(44311000, 72002600)"
200091009N13022,1,1,1,91,2,25,7900,'I 91 OVER VT 30 WESTR   ','I 00091 ML        ','0.9 MI S EXIT 3          ',99.99,17.007000000000001,1,250000091,0,42522800,72341400,2,3,1,1,11,1960,2,2,12850,1998,5,11.6,1,0,0,0,0,0,1,5,0,0,0,A,1,6,4,9,3,2,3,2,9.1,134.1,309.7,0.3,0.3,9.1,10.7,99.99,H,12.19,H,5.1,0,4,5,6,7,N,2,54.9,2,36,5,4,6,5,8,8,35,1,309.7,710,24,Y24,N  ,Y60,710,,1006,7112,35,7147,2011,1,R,1,,1,0,0,1,6,2,0,13,1,,Y,8,20174,2018,N,1,63.1,"(42522800, 72341400)"
200091009S13022,1,1,1,91,2,25,7900,'I 91 OVER VT 30 WESTR   ','I 00091 ML        ','0.9 MI S EXIT 3          ',99.99,17.007000000000001,1,250000091,0,42522900,72341500,2,3,1,1,11,1960,2,2,12850,1998,5,11.6,1,0,0,0,0,0,1,5,0,0,0,A,1,6,4,9,3,2,3,2,9.1,134.1,309.7,0.3,0.3,9.1,10.7,99.99,H,12.19,H,5.1,0,5,5,6,7,N,2,54.9,2,36,5,4,6,5,8,8,35,1,309.7,710,24,Y24,N  ,Y60,710,,1006,7112,35,7147,2011,1,L,1,,1,0,0,1,6,2,0,13,1,,Y,8,20174,2018,N,0,65.2,"(42522900, 72341500)"
200091011N13022,1,1,1,91,2,25,7900,'I 91 OVER BRATT.SH      ','I 00091 ML        ','I 91 EXIT 3              ',99.99,18.584,1,250000091,0,42530900,72333200,0,3,1,1,11,1960,2,2,12850,1998,5,11.6,1,1,0,1,1,1,1,5,N,0,0,A,1,1,3,2,0,0,3,0,12.8,18.899999999999999,43.3,0.2,0.2,12.8,14.3,99.99,H,4.29,H,3.4,0,7,7,5,N,N,1,89.1,1,54.9,5,8,4,5,N,8,,,,410,24,N  ,N  ,N  ,,,,,,,,1,R,1,,1,0,0,1,6,2,0,13,1,,Y,N,20174,2018,N,0,85,"(42530900, 72333200)"
200091011S13022,1,1,1,91,2,25,7900,'I 91 OVER BRATT.SH      ','I 00091 ML        ','I 91 EXIT 3              ',99.99,18.584,1,250000091,0,42531000,72333300,0,3,1,1,11,1960,3,2,12850,1998,5,11.6,1,1,0,1,1,1,1,5,N,0,0,A,1,1,3,2,0,0,3,0,12.8,18.899999999999999,43.3,0.2,0.2,12.8,14.3,99.99,H,4.27,H,2.7,0,6,6,6,N,N,1,87.3,1,52.2,6,2,4,5,N,8,35,1,43.3,410,24,N  ,N  ,N  ,,,,1335,35,1370,2011,1,L,1,,1,0,0,1,6,2,0,13,1,,Y,N,20174,2018,N,2,77,"(42531000, 72333300)"
200091014N13132,1,1,1,91,2,25,57700,'SACKETTS BROOK          ','I 00091 ML        ','0.3 MI N EXIT 4          ',99.99,29.702000000000002,1,250000091,0,42575600,72305400,2,3,1,1,1,1961,2,0,6800,1998,5,13.7,1,20,0,1,1,1,1,5,0,0,0,A,1,5,3,2,0,0,3,0,9.1,24.7,74.099999999999994,0.2,0.2,9.1,10.7,99.99,N,0,N,0,0,7,7,6,8,N,1,86.4,1,51.3,6,4,N,5,8,8,,,,410,24,N  ,N  ,N  ,,,,,,,,1,R,1,,1,0,0,1,6,2,0,13,1,,Y,8,10676,2018,N,0,80.2,"(42575600, 72305400)"
200102001002142,1,3,1,100,1,3,69775,'NO. BR. HOOSIC RIVER    ','VT 00100 ML       ','4.2 MI N MASS.STATE LINE ',99.99,0,0,,,42472600,73015900,42,3,1,1,7,1963,2,0,1300,1998,5,9.1,0,45,0,1,1,1,1,5,0,0,0,A,1,5,3,2,0,0,1,0,9.4,18.899999999999999,19.5,0.5,0.5,9.4,10.7,99.99,N,0,N,0,0,8,8,7,5,N,2,59.4,2,36,7,5,N,5,6,8,,,,611,24,N  ,N  ,N  ,,,,,,,,0,N,2,,0,0,0,1,6,2,0,6,0,,Y,8,1820,2018,N,0,93.8,"(42472600, 73015900)"
200091014S13132,1,1,1,91,2,25,57700,'SACKETTS BROOK          ','I 00091 ML        ','0.3 MI N EXIT 4          ',99.99,29.702000000000002,1,250000091,0,42575700,72305500,2,3,1,1,1,1961,2,0,6800,1998,5,11.6,1,20,0,1,1,1,1,5,0,0,0,A,1,5,3,2,0,0,3,0,9.1,25,74.400000000000006,0.2,0.2,9.1,10.7,99.99,N,0,N,0,0,7,7,6,8,N,1,86.4,1,51.3,6,4,N,5,8,8,,,,410,24,N  ,N  ,N  ,,,,,,,,1,L,1,,1,0,0,1,6,2,0,13,1,,Y,8,10676,2018,N,0,80.2,"(42575700, 72305500)"
200091015N13132,1,1,1,91,2,25,57700,'I 91 OVER TH NO 3       ','I 00091 ML        ','1.5 MI N EXIT 4          ',99.99,31.681000000000001,1,250000091,0,42581200,72293000,2,3,1,1,1,1961,2,2,6800,2008,5,11.6,1,45,0,1,1,1,1,5,N,0,0,A,1,1,3,2,0,0,5,0,9.1,18.3,91.1,0.2,0.2,9.1,10.7,99.99,H,5,H,1.7,0,6,7,6,N,N,1,86.4,1,51.3,6,4,4,5,N,8,35,1,91.1,410,24,N  ,N  ,N  ,,,,2093,35,2128,2011,1,R,1,,1,0,0,1,6,2,0,13,1,,Y,N,10200,2028,N,0,78.2,"(42581200, 72293000)"
200091015S13132,1,1,1,91,2,25,57700,'I 91 OVER TH NO 3       ','I 00091 ML        ','1.5 MI N EXIT 4          ',99.99,31.681000000000001,1,250000091,0,42581300,72293100,2,3,1,1,1,1961,2,2,12700,2008,5,11.6,1,45,0,1,1,1,1,5,N,0,0,A,1,1,3,2,0,0,3,0,9.1,19.2,47.5,0.2,0.2,9.1,10.7,99.99,H,4.62,H,2.1,0,7,7,6,N,N,1,80.099999999999994,1,47.7,6,2,4,5,N,8,35,1,47.5,410,24,N  ,N  ,N  ,,,,1092,35,1127,2011,1,L,1,,1,0,0,1,6,2,0,13,1,,Y,N,16510,2028,N,2,75.400000000000006,"(42581300, 72293100)"
200091016N13132,1,1,1,91,2,25,57700,'I 91 OVER TH 50 PUT B   ','I 00091 ML        ','3.1 MI N EXIT 4          ',99.99,34.271999999999998,1,250000091,0,42592600,72284100,2,3,1,1,1,1961,2,2,12700,2008,5,11.6,1,0,0,1,1,1,1,5,0,0,0,A,1,6,3,2,0,0,4,0,9.1,26.5,108.5,0.2,0.2,9.1,10.7,99.99,H,16.149999999999999,H,0.9,0,7,8,5,8,N,1,89.1,1,58.5,5,4,3,5,8,8,35,1,108.5,410,24,N  ,N  ,N  ,,,,2492,35,2527,2011,1,R,1,,1,0,0,1,6,2,0,13,1,,Y,8,16510,2028,N,2,64.099999999999994,"(42592600, 72284100)"
200091016S13132,1,1,1,91,2,25,57700,'I 91 OVER TH 50&PUT BRK ','I 00091 ML        ','3.1 MI N EXIT 4          ',99.99,34.271999999999998,1,250000091,0,42592600,72284200,2,3,1,1,1,1961,2,2,12700,2008,5,11.6,1,0,0,1,1,1,1,5,0,0,0,A,7,6,3,2,0,0,4,0,9.1,26.5,108.5,0.2,0.2,9.1,10.7,99.99,H,15.54,H,0.9,0,7,8,5,8,N,1,89.1,1,58.5,5,4,3,5,8,8,35,1,108.5,410,24,N  ,N  ,N  ,,,,2492,35,2527,2011,1,L,1,,1,0,0,1,6,2,0,13,1,,Y,8,16510,2028,N,2,64.099999999999994,"(42592600, 72284200)"
200091018N13202,1,1,1,91,2,25,81400,'I 91 OVER TH NO 52      ','I 00091 ML        ','3.0 MI S EXIT 5          ',99.99,41.222999999999999,1,250000091,0,43026000,72281300,2,3,1,1,1,1962,2,2,6800,1998,5,11.6,1,22,0,1,1,1,1,5,N,0,0,A,1,1,3,2,0,0,3,0,12.8,14.3,40.5,0.2,0.2,12.8,14.3,99.99,H,5.33,H,3,0,8,8,6,N,N,1,76.5,1,45,6,8,6,5,N,8,,,,410,24,N  ,N  ,N  ,,,,,,,,1,R,1,,1,0,0,1,6,2,0,13,1,,Y,N,10676,2018,N,0,97.4,"(43026000, 72281300)"
200091018S13202,1,1,1,91,2,25,81400,'I 91 OVER TH NO 52      ','I 00091 ML        ','3.0 MI S EXIT 5          ',99.99,41.222999999999999,1,250000091,0,43030000,72281400,2,3,1,1,1,1962,2,2,6800,1998,5,11.6,1,34,0,1,1,1,1,5,N,0,0,A,1,1,3,2,0,0,3,0,12.8,16.5,41.1,0.2,0.2,12.8,14.3,99.99,H,4.37,H,2.7,0,6,8,6,N,N,1,82.8,1,49.5,6,8,5,5,N,8,,,,410,24,N  ,N  ,N  ,,,,,,,,1,L,1,,1,0,0,1,6,2,0,13,1,,Y,N,10676,2018,N,0,96.4,"(43030000, 72281400)"
200091020N13202,1,1,1,91,2,25,81400,'I 91 OVER WSTMSTER SH   ','I 00091 ML        ','I 91 EXIT 5              ',99.99,46.033000000000001,1,250000091,0,43052800,72272200,0,3,1,1,1,1963,2,2,6450,1998,5,11.6,1,28,0,1,1,1,1,5,N,0,0,A,1,1,3,2,0,0,3,0,9.1,18.3,49.7,0.2,0.2,9.1,10.7,99.99,H,5.66,H,4.3,0,6,7,6,N,N,1,75.599999999999994,1,45,6,2,6,5,N,8,35,1,49.7,410,24,N  ,N  ,N  ,,,,1141,35,1176,2011,1,R,1,,1,0,0,1,6,2,0,13,1,,Y,N,10126,2018,N,2,79,"(43052800, 72272200)"
200091020S13202,1,1,1,91,2,25,81400,'I 91 OVER WSTMSTER SH   ','I 00091 ML        ','I 91 EXIT 5              ',99.99,46.033000000000001,1,250000091,0,43052800,72272300,0,3,1,1,1,1963,2,2,6450,1998,5,11.6,1,28,0,1,1,1,1,5,N,0,0,A,1,1,3,2,0,0,3,0,9.1,18.3,49.7,0.2,0.2,9.1,10.7,99.99,H,4.72,H,4.3,0,5,7,6,N,N,1,75.599999999999994,1,45,6,2,6,5,N,8,35,1,49.7,410,24,N  ,N  ,N  ,,,,1141,35,1176,2011,1,L,1,,1,0,0,1,6,2,0,13,1,,Y,N,10126,2018,N,2,78,"(43052800, 72272300)"
200091021N13202,1,1,1,91,2,25,81400,'I 91 OVER TH 1 SAXTON   ','I 00091 ML        ','2.4 MI N EXIT 5          ',99.99,49.942999999999998,1,250000091,0,43072400,72280400,2,3,1,1,1,1963,2,2,6450,1998,5,11.6,1,57,0,1,1,1,1,5,0,0,0,A,1,6,3,2,0,0,7,0,9.1,25.9,162.80000000000001,0.2,0.2,9.1,10.7,99.99,H,6.93,H,3,0,5,7,5,7,N,1,89.1,1,54,5,4,6,5,8,8,35,1,162.80000000000001,710,24,N  ,N  ,N  ,,,,3738,35,3773,2011,1,R,1,,1,0,0,1,6,2,0,13,1,,Y,8,10126,2018,N,0,68.099999999999994,"(43072400, 72280400)"
200091021S13202,1,1,1,91,2,25,81400,'I 91 OVER TH 1 SAXTON   ','I 00091 ML        ','2.4 MI N EXIT 5          ',99.99,49.942999999999998,1,250000091,0,43072400,72280600,2,3,1,1,1,1963,2,2,6450,1998,5,11.6,1,57,0,1,1,1,1,5,0,0,0,A,1,6,3,2,0,0,8,0,9.1,25.9,165.2,0.2,0.2,9.1,10.7,99.99,H,5.87,H,3.2,0,5,7,4,6,N,1,85.5,1,51.3,4,4,6,5,8,8,35,1,165.2,710,24,N  ,Y24,N  ,,809,,3794,35,3829,2011,1,L,1,,1,0,0,1,6,2,0,13,1,,Y,8,10126,2018,N,1,51.7,"(43072400, 72280600)"
200091022N13142,1,1,1,91,2,25,60250,'I 91 OVER TH NO 46      ','I 00091 ML        ','1.5 MI S EXIT 6          ',99.99,54.158999999999999,1,250000091,0,43092900,72280900,2,3,1,1,1,1963,2,2,6450,1998,5,11.6,1,15,0,1,1,1,1,5,N,0,0,A,1,1,3,2,0,0,3,0,11.6,15.8,40.200000000000003,0.2,0.2,11.6,13.2,99.99,H,5.44,H,2.4,0,6,8,7,N,N,1,63,1,37.799999999999997,7,6,5,5,N,8,,,,410,24,N  ,N  ,N  ,,,,,,,,1,R,1,,1,0,0,1,6,2,0,13,1,,Y,N,10126,2018,N,0,96.4,"(43092900, 72280900)"
200091022S13142,1,1,1,91,2,25,60250,'I 91 OVER TH NO 46      ','I 00091 ML        ','1.5 MI S EXIT 6          ',99.99,54.158999999999999,1,250000091,0,43092900,72280900,2,3,1,1,1,1963,2,2,6450,1998,5,11.6,1,15,0,1,1,1,1,5,N,0,0,A,1,1,3,2,0,0,1,0,11.6,25,25.6,0.2,0.2,11.6,13.2,99.99,H,4.06,H,1.5,0,6,8,7,N,N,1,89.1,1,54,7,6,3,5,N,8,,,,410,24,N  ,N  ,N  ,,,,,,,,1,L,1,,1,0,0,1,6,2,0,13,1,,Y,N,10126,2018,N,2,93.4,"(43092900, 72280900)"
200091023N13142,1,1,1,91,2,25,60250,'I 91 OVER VT 103        ','I 00091 ML        ','I 91 EXIT 6              ',99.99,56.637,1,250000091,0,43104300,72274700,0,3,1,1,1,1963,2,3,5500,1998,5,11.6,1,16,0,1,1,1,1,5,N,0,0,A,1,1,3,2,0,0,3,0,9.1,18.899999999999999,50.9,0.2,0.2,9.1,10.7,99.99,H,5.21,H,1.8,0,5,7,6,N,N,1,81,1,48.6,6,2,4,5,N,8,35,1,50.9,410,24,N  ,N  ,N  ,,,,1176,35,1211,2011,1,R,1,,1,0,0,1,6,0,0,13,1,,Y,N,8635,2018,N,2,76,"(43104300, 72274700)"
200091023S13142,1,1,1,91,2,25,60250,'I 91 OVER VT 103        ','I 00091 ML        ','I 91 EXIT 6              ',99.99,56.637,1,250000091,0,43104300,72274800,2,3,1,1,1,1963,3,3,5500,1998,5,12.5,1,16,0,1,1,1,1,5,N,0,0,A,1,1,3,2,0,0,3,0,12.8,17.399999999999999,47.9,0.2,0.2,12.8,14.4,99.99,H,4.27,H,1.8,0,5,7,5,N,N,1,89.1,1,53.1,5,2,4,5,N,8,35,1,47.9,410,24,N  ,N  ,N  ,,,,1482,35,1517,2011,1,L,1,,1,0,0,1,6,0,0,13,1,,Y,N,8635,2018,N,2,64.2,"(43104300, 72274800)"
200091024N13142,1,1,1,91,2,25,60250,'I 91 OVER GM RR WLMSR   ','I 00091 ML        ','0.3 MI N EXIT 6          ',99.99,57.087000000000003,1,250000091,0,43105900,72274600,2,3,1,1,1,1965,2,0,5500,1998,5,11.6,1,0,0,0,1,1,1,5,0,0,0,A,1,7,3,9,1,4,4,2,9.1,56.1,259.39999999999998,0.3,0.3,9.1,10.7,99.99,R,30.48,R,29.3,0,4,6,5,8,N,1,54,1,32.4,5,4,9,5,8,8,35,1,259.39999999999998,710,24,Y24,N  ,N  ,710,,,5991,35,6026,2011,1,R,1,,1,0,0,1,6,2,0,13,1,,Y,8,8635,2018,N,1,66.2,"(43105900, 72274600)"
200091024S13142,1,1,1,91,2,25,60250,'I 91 OVER GM RR WLMSR   ','I 00091 ML        ','0.3 MI N EXIT 6          ',99.99,57.087000000000003,1,250000091,0,43105900,72274700,2,3,1,1,1,1965,2,0,5500,1998,5,11.6,1,0,0,0,1,1,1,5,0,0,0,A,1,7,3,9,1,4,4,2,9.1,56.1,259.39999999999998,0.3,0.3,9.1,10.7,99.99,R,30.48,R,22.6,0,4,6,6,8,N,1,54,1,32.4,6,4,9,5,8,8,35,1,259.39999999999998,710,24,Y24,N  ,N  ,710,,,5991,35,6026,2011,1,L,1,,1,0,0,1,6,2,0,13,1,,Y,8,8635,2018,N,1,77.3,"(43105900, 72274700)"
200091025N14182,1,1,1,91,2,27,69550,'I 91 OVER US 5          ','I 00091 ML        ','0.8 MI S EXIT 7          ',99.99,65.84,1,270000091,0,43152400,72262000,2,3,1,1,1,1965,2,2,5500,1998,5,11.6,1,45,0,1,1,1,1,5,N,0,0,A,1,1,4,2,0,0,3,0,9.1,27.4,70.400000000000006,0.2,0.2,9.1,10.7,99.99,H,5.31,H,4,0,6,7,6,N,N,1,68.400000000000006,1,41.4,6,4,9,5,N,8,,,,410,24,N  ,N  ,N  ,,,,,,,,1,R,1,,1,0,0,1,6,2,0,13,1,,Y,N,8635,2018,N,0,80.400000000000006,"(43152400, 72262000)"
200091025S14182,1,1,1,91,2,27,69550,'I 91 OVER US 5          ','I 00091 ML        ','0.8 MI S EXIT 7          ',99.99,65.84,1,270000091,0,43152500,72262100,2,3,1,1,1,1965,2,2,5500,1998,5,11.6,1,45,0,1,1,1,1,5,N,0,0,A,1,1,4,2,0,0,3,0,9.1,27.4,64.3,0.2,0.2,9.1,10.7,99.99,H,4.34,H,4,0,6,7,6,N,N,1,67.5,1,40.5,6,4,5,5,N,8,35,1,64.3,410,24,N  ,N  ,N  ,,,,1485,35,1520,2011,1,L,1,,1,0,0,1,6,2,0,13,1,,Y,N,8635,2018,N,0,79.400000000000006,"(43152500, 72262100)"
200091026N14182,1,1,1,91,2,27,69550,'BLACK RIVER             ','I 00091 ML        ','0.4 MI S EXIT 7          ',99.99,66.387,1,270000091,0,43154000,72260900,2,3,1,1,1,1965,2,0,5500,1998,5,11.6,1,0,0,0,0,1,1,5,0,0,0,A,1,5,4,2,0,0,3,0,9.1,39.6,96.3,0.3,0.3,9.1,10.7,99.99,N,0,N,0,0,6,7,8,7,N,1,48.6,1,28.8,7,4,N,5,8,8,35,1,96.3,410,24,Y24,Y48,Y60,710,807,1006,2225,35,2260,2011,1,R,1,,1,0,0,1,6,2,0,13,1,,Y,8,8635,2018,N,0,77.099999999999994,"(43154000, 72260900)"
200091026S14182,1,1,1,91,2,27,69550,'BLACK RIVER             ','I 00091 ML        ','0.4 MI S EXIT 7          ',99.99,66.387,1,270000091,0,43154100,72260900,2,3,1,1,1,1965,2,0,5500,1998,5,11.6,1,0,0,0,0,1,1,5,0,0,0,A,1,5,4,2,0,0,3,0,9.1,39.6,96.3,0.3,0.3,9.1,10.7,99.99,N,0,N,0,0,5,5,7,7,N,1,48.6,1,28.8,5,4,N,5,8,8,35,1,96.3,410,24,Y24,Y48,Y60,710,807,1006,2225,35,2260,2011,1,L,1,,1,0,0,1,6,2,0,13,1,,Y,8,8635,2018,N,0,65,"(43154100, 72260900)"
200091027N14182,1,1,1,91,2,27,69550,'BIKE PATH               ','I 00091 ML        ','0.1 MI S EXIT 7          ',99.99,66.853999999999999,1,270000091,0,43155300,72256000,2,3,1,1,1,1965,2,0,5500,1998,5,11.6,1,21,0,1,1,1,1,5,N,0,0,A,1,3,3,2,0,0,1,0,11.6,21.9,22.6,0.2,0.2,11.6,13.2,99.99,N,0,N,0,0,7,8,8,N,N,1,88.2,1,52.2,8,6,N,5,N,8,,,,410,24,N  ,N  ,N  ,,,,,,,,1,R,1,,1,0,0,1,6,2,0,13,1,,Y,N,8635,2018,N,0,97.5,"(43155300, 72256000)"
200091027S14182,1,1,1,91,2,27,69550,'BIKE PATH               ','I 00091 ML        ','0.1 MI S EXIT 7          ',99.99,66.853999999999999,1,270000091,0,43155300,72260100,2,3,1,1,1,1965,3,0,5500,1998,5,12.5,1,20,0,1,1,1,1,5,N,0,0,A,1,3,3,2,0,0,1,0,12.8,21.9,22.6,0.2,0.2,12.8,14.4,99.99,N,0,N,0,0,7,8,8,N,N,1,87.3,1,52.2,8,2,N,5,N,8,35,1,22.6,410,24,N  ,N  ,N  ,,,,699,35,734,2011,1,L,1,,1,0,0,1,6,2,0,13,1,,Y,N,8635,2018,N,2,78.3,"(43155300, 72260100)"
200091028N14182,1,1,1,91,2,27,69550,'I 91 OVER US 5          ','I 00091 ML        ','I 91 EXIT 7              ',99.99,67.078999999999994,1,270000091,0,43160100,72255700,0,3,1,1,1,1965,3,4,5500,1999,4,13.7,1,11,0,1,1,1,1,5,N,0,0,A,1,1,4,2,0,0,4,0,12.8,16.8,61.6,0.2,0.2,12.8,14.3,99.99,H,4.55,H,3,1.5,5,7,5,N,N,1,66.599999999999994,1,39.6,5,4,6,5,N,8,35,1,61.6,410,24,N  ,N  ,N  ,,,,1899,35,1934,2011,1,R,1,,1,0,0,1,6,2,0,13,1,,Y,N,8635,2019,N,0,69,"(43160100, 72255700)"
