ID,Reporting Agency,Report Number,Date,Street Address,Town,Number,Number1,Number2,Number3,Intersection,Distance From Intersection,Distance Unit,Posted Speed,Direction of Collision,Direction from Intersection,Easting,Northing,Mile Marker,Mile Marker 1,Mile Marker 2,AOT Roadway,AOT Route,AOT Actual Mile,LRS Number,How Mapped,Crash Type,Location 1
10241,VTVSP0200,12B100508,02/19/2012,Min. C 0750 (563 So Wheelock Rd),Lyndon,1,NO DATA,NO DATA,NO DATA,Brookside Lane,15,Feet,35,6 - Single Vehicle Crash,East,538204,224268,NO DATA,NO DATA,NO DATA,Minor Collector - Non Fed Aid Rural TH,MinCollector,999.99,NO DATA,XY,Property Damage Only,"(44.51763555, -72.01946436)"
10242,VTVSP0200,12B100466,02/15/2012,Min. C 0750 (563 South Wheelock Rd),Lyndon,1,NO DATA,NO DATA,NO DATA,Brookside Lane,300,Feet,35,6 - Single Vehicle Crash,South,538217,224274,NO DATA,NO DATA,NO DATA,Minor Collector - Non Fed Aid Rural TH,MinCollector,999.99,NO DATA,XY,Property Damage Only,"(44.51768886, -72.01930040)"
10250,VTVSP0200,12B104286,12/26/2012,Memorial Dr,St. Johnsbury,NO DATA,NO DATA,5,NO DATA,Parking Lot Green Mtn Mall,NO DATA,NO DATA,99,7 - Other - Explain in Narrative,NO DATA,538688,217977,NO DATA,NO DATA,NO DATA,"Other Public Roadway (Rest Areas, Shopping Center",Unknown,999.99,NO DATA,XY,Property Damage Only,"(44.46099624, -72.01384723)"
10251,VT0030300,12SJ03332,08/17/2012,18 Arlington Terrace,St. Johnsbury,NO DATA,NO DATA,NO DATA,NO DATA,St John St,NO DATA,NO DATA,30,7 - Other - Explain in Narrative,North,538691,214833,NO DATA,NO DATA,NO DATA,Street or Town Highways in FA Urban Area,Unknown,999.99,NO DATA,XY,Property Damage Only,"(44.43270259, -72.01404418)"
10252,VT0030300,12SJ05337,12/26/2012,FAU-7002 Bay St,St. Johnsbury,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,1000,Feet,30,6 - Single Vehicle Crash,South,538692,212977,NO DATA,NO DATA,NO DATA,Federal Aid Urban System (Class 2 TH's and 3 TH's,"BAY ST., ST. JOHNSBURY",999.99,NO DATA,XY,Property Damage Only,"(44.41599996, -72.01416997)"
10253,VTVSP0200,12B100790,03/17/2012,Gordon Mills Way,St. Johnsbury,NO DATA,NO DATA,NO DATA,NO DATA,Memorial Dr (US Route 5),NO DATA,NO DATA,50,"11 - Left Turn and Thru, Head On ^v--",NO DATA,538699,220356,NO DATA,NO DATA,NO DATA,Street or Town Highways in FA Urban Area,Unknown,999.99,NO DATA,XY,Property Damage Only,"(44.48240465, -72.01353120)"
10254,VTVSP0200,12B101633,05/28/2012,Min. C 0754 College Rd,Lyndon,8,NO DATA,NO DATA,NO DATA,Center St,NO DATA,NO DATA,25,6 - Single Vehicle Crash,West,538704,226480,NO DATA,NO DATA,NO DATA,Minor Collector - Non Fed Aid Rural TH,MinCollector,999.99,NO DATA,XY,Property Damage Only,"(44.53751487, -72.01300966)"
10262,VTVSP0200,12B101946,06/20/2012,TH-15 (598 Pierce Rd),St. Johnsbury,15,NO DATA,NO DATA,NO DATA,598 Pierce Rd,1,Miles,99,6 - Single Vehicle Crash,East,539098,220670,NO DATA,NO DATA,NO DATA,Street or Town Highways in FA Urban Area,Unknown,999.99,NO DATA,XY,Injury,"(44.48520891, -72.00849199)"
10263,VTVSP0200,12B103665,11/09/2012,I 91 S,Lyndon,NO DATA,NO DATA,NO DATA,91,Exit 23 Ramp,0,Miles,65,6 - Single Vehicle Crash,South,539133,224008,910,307,1366,State System (State Highways and Class I TH links),I-91,999.99,NO DATA,XY,Property Damage Only,"(44.51524603, -72.00779935)"
10264,VT0030300,12SJ05108,12/10/2012,TH-4 Mt Pleasant Ext,St. Johnsbury,NO DATA,NO DATA,NO DATA,NO DATA,Mt Pleasant Cemetary,1,Miles,30,2 - Head On,North,539175,211965,NO DATA,NO DATA,NO DATA,Street or Town Highways in FA Urban Area,Unknown,999.99,NO DATA,XY,Property Damage Only,"(44.40686676, -72.00818179)"
10265,VT0030300,12SJ05227,12/19/2012,Cliff St,St. Johnsbury,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,30,"14 - Left Turn and Thru, Broadside v<--",North,539175,211965,NO DATA,NO DATA,NO DATA,Street or Town Highways in FA Urban Area,Unknown,999.99,NO DATA,XY,Property Damage Only,"(44.40686676, -72.00818179)"
10266,VTVSP0800,12B201139,04/20/2012,VT 105,Charleston,NO DATA,105,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,50,6 - Single Vehicle Crash,West,539337,260559,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-105,999.99,NO DATA,XY,Injury,"(44.84415075, -72.00242643)"
10267,VTVSP0200,12B100181,01/17/2012,TH-14 (811 New Boston Rd),St. Johnsbury,14,NO DATA,NO DATA,NO DATA,811 New Boston Rd,NO DATA,NO DATA,35,6 - Single Vehicle Crash,South,539440,219718,NO DATA,NO DATA,NO DATA,"City, Village or Urban Compact Street not in FA Ur",TOWN ROAD 0014,999.99,NO DATA,XY,Injury,"(44.47662315, -72.00426534)"
10275,VTVSP0200,12B100432,02/10/2012,Hill St,Lyndon,NO DATA,NO DATA,NO DATA,NO DATA,Packing House Parking Lot,15,Feet,99,5 - Rear-to-rear,South,540205,225982,NO DATA,NO DATA,NO DATA,"Other Public Roadway (Rest Areas, Shopping Center",Unknown,999.99,NO DATA,XY,Property Damage Only,"(44.53295126, -71.99416290)"
10276,VTVSP0200,12B100411,02/09/2012,293 Hill St,Lyndon,NO DATA,NO DATA,NO DATA,NO DATA,Packing House Parking Lot,NO DATA,NO DATA,99,5 - Rear-to-rear,NO DATA,540238,225979,NO DATA,NO DATA,NO DATA,"Other Public Roadway (Rest Areas, Shopping Center",Unknown,999.99,NO DATA,XY,Property Damage Only,"(44.53292243, -71.99374797)"
10277,VTVSP0200,12B100229,01/22/2012,TH-17 Little Egypt Rd,Lyndon,NO DATA,NO DATA,NO DATA,NO DATA,129 Little Egypt Rd,NO DATA,NO DATA,99,4 - Opp Direction Sideswipe,NO DATA,540542,230571,NO DATA,NO DATA,NO DATA,"City, Village or Urban Compact Street not in FA Ur",TOWN ROAD 0017,999.99,NO DATA,XY,Property Damage Only,"(44.57422881, -71.98956225)"
10278,VTVSP0200,12B100556,02/24/2012,Branch Dr,Lyndon,NO DATA,NO DATA,5,NO DATA,US RT 5,30,Feet,50,1 - Rear End,South,540914,231270,NO DATA,NO DATA,NO DATA,"City, Village or Urban Compact Street not in FA Ur",Unknown,999.99,NO DATA,XY,Injury,"(44.58049805, -71.98482328)"
10279,VTVSP0200,12B102853,09/01/2012,TH-80 (816 Higgins Hill Rd),St. Johnsbury,80,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,30,6 - Single Vehicle Crash,NO DATA,541273,213219,NO DATA,NO DATA,NO DATA,Street or Town Highways in FA Urban Area,Unknown,999.99,NO DATA,XY,Injury,"(44.41803532, -71.98174401)"
10280,VTVSP0200,12B103041,09/17/2012,TH-37 Spaulding Rd,St. Johnsbury,NO DATA,NO DATA,NO DATA,NO DATA,US Route 2,350,Feet,30,6 - Single Vehicle Crash,North,541582,214730,NO DATA,NO DATA,NO DATA,"City, Village or Urban Compact Street not in FA Ur",TOWN ROAD 0037,999.99,NO DATA,XY,Property Damage Only,"(44.43161542, -71.97774306)"
10288,VTVSP0200,12B100960,04/02/2012,TH-21 Brook Rd,Lyndon,21,NO DATA,NO DATA,NO DATA,Hunter Farm Rd,500,Feet,35,6 - Single Vehicle Crash,East,544590,229656,NO DATA,NO DATA,NO DATA,"City, Village or Urban Compact Street not in FA Ur",TOWN ROAD 0021,999.99,NO DATA,XY,Property Damage Only,"(44.56575568, -71.93867795)"
10289,VTVSP0200,12B104315,12/29/2012,Min. C 0756 Ridge Rd,Kirby,NO DATA,NO DATA,NO DATA,NO DATA,Burrington Bridge Rd,0,Miles,99,6 - Single Vehicle Crash,North,544787,227042,NO DATA,NO DATA,NO DATA,Minor Collector - Non Fed Aid Rural TH,MinCollector,999.99,NO DATA,XY,Injury,"(44.54222029, -71.93642520)"
10290,VTVSP0200,12B100263,01/26/2012,TH-7 Walsh Rd,Waterford,7,NO DATA,NO DATA,NO DATA,East Village Rd,528,Feet,50,6 - Single Vehicle Crash,West,545028,214665,NO DATA,NO DATA,NO DATA,"City, Village or Urban Compact Street not in FA Ur",TOWN ROAD 0007,999.99,NO DATA,XY,Property Damage Only,"(44.43082439, -71.93446994)"
10291,VTVSP0200,12B104105,12/14/2012,TH-10 Hudson Rd,Waterford,9,NO DATA,NO DATA,NO DATA,Walsh Rd,0,Miles,35,6 - Single Vehicle Crash,North,545320,213389,NO DATA,NO DATA,NO DATA,"City, Village or Urban Compact Street not in FA Ur",TOWN ROAD 0010,999.99,NO DATA,XY,Property Damage Only,"(44.41932331, -71.93091415)"
10292,VTVSP0200,12B102962,09/11/2012,TH-19 Marshall Newland Road,Burke,19,NO DATA,NO DATA,NO DATA,White School Rd,NO DATA,NO DATA,30,4 - Opp Direction Sideswipe,NO DATA,545812,235362,NO DATA,NO DATA,NO DATA,"City, Village or Urban Compact Street not in FA Ur",TOWN ROAD 0019,999.99,NO DATA,XY,Property Damage Only,"(44.61702642, -71.92278750)"
10293,VTVSP0200,12B103669,11/09/2012,TH-29 Kirby Mtn Rd,Kirby,28,NO DATA,NO DATA,NO DATA,4015 Kirby Mtn Rd,20,Feet,35,6 - Single Vehicle Crash,South,546061,224502,NO DATA,NO DATA,NO DATA,"City, Village or Urban Compact Street not in FA Ur",TOWN ROAD 0029,999.99,NO DATA,XY,Injury,"(44.51928278, -71.92062132)"
10301,VTVSP0200,12B102243,07/13/2012,US Route 2,Concord,NO DATA,NO DATA,2,NO DATA,Ladd Rd,500,Feet,50,6 - Single Vehicle Crash,West,552909,218389,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),US-2,999.99,NO DATA,XY,Property Damage Only,"(44.46380342, -71.83511422)"
10302,VTVSP0200,12B104177,12/19/2012,TH-3 (1316 Victory Hill Rd),Victory,NO DATA,NO DATA,NO DATA,NO DATA,Kirby Mtn Rd,50,Feet,35,6 - Single Vehicle Crash,South,553245,225475,NO DATA,NO DATA,NO DATA,"City, Village or Urban Compact Street not in FA Ur",TOWN ROAD 0003,999.99,NO DATA,XY,Property Damage Only,"(44.52754448, -71.83016253)"
10303,VTVSP0200,12B104013,12/06/2012,TH-2 Victory Rd,Victory,2,NO DATA,NO DATA,NO DATA,VT Route 114,7,Miles,50,6 - Single Vehicle Crash,East,553589,233023,NO DATA,NO DATA,NO DATA,"City, Village or Urban Compact Street not in FA Ur",TOWN ROAD 0002,999.99,NO DATA,XY,Property Damage Only,"(44.59544135, -71.82505034)"
10304,VTVSP0800,12B201877,06/20/2012,Rt 114,Warrens Gore,NO DATA,114,NO DATA,NO DATA,Rt 111,3,Miles,50,6 - Single Vehicle Crash,North,553932,264760,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-114,999.99,NO DATA,XY,Injury,"(44.88099881, -71.81737861)"
10305,VTVSP0200,12B100649,03/05/2012,TH-2 (Victory Road),Victory,2,NO DATA,NO DATA,NO DATA,2418 Victory Rd,0,Miles,99,6 - Single Vehicle Crash,West,554116,232559,NO DATA,NO DATA,NO DATA,"City, Village or Urban Compact Street not in FA Ur",TOWN ROAD 0002,999.99,NO DATA,XY,Injury,"(44.59122656, -71.81846206)"
10306,VTVSP0200,12B102543,08/06/2012,FAS-277 (2110 River Rd),Victory,NO DATA,NO DATA,NO DATA,NO DATA,Granbo Rd,2,Miles,50,6 - Single Vehicle Crash,South,556552,228191,NO DATA,NO DATA,NO DATA,Federal Aid Secondary System (Class 2 TH),FAS 0277,999.99,NO DATA,XY,Injury,"(44.55173335, -71.78826485)"
10314,VT0040100,2012BU009606,04/23/2012,1 King St,Burlington,NO DATA,NO DATA,NO DATA,NO DATA,Main St Landing Parking Garage,NO DATA,NO DATA,99,6 - Single Vehicle Crash,NO DATA,,,NO DATA,NO DATA,NO DATA,"Other Public Roadway (Rest Areas, Shopping Center",Unknown,999.99,NO DATA,GEOCODE,Property Damage Only,"(44.47484937, -73.22104476)"
10315,VT0040100,12BU017751,07/18/2012,1 Main St,Burlington,NO DATA,NO DATA,NO DATA,NO DATA,Parking Lot Of Main St Landing,NO DATA,NO DATA,10,NO DATA,NO DATA,,,NO DATA,NO DATA,NO DATA,"Other Public Roadway (Rest Areas, Shopping Center",Unknown,999.99,NO DATA,GEOCODE,Property Damage Only,"(44.47569556, -73.21954050)"
10316,VT0040100,2012BU031530,12/13/2012,1 Main St,Burlington,NO DATA,NO DATA,NO DATA,NO DATA,Main St,NO DATA,NO DATA,99,7 - Other - Explain in Narrative,NO DATA,,,NO DATA,NO DATA,NO DATA,"Other Public Roadway (Rest Areas, Shopping Center",Unknown,999.99,NO DATA,GEOCODE,Property Damage Only,"(44.47569556, -73.21954050)"
10317,VT0040100,2012BU017055,07/11/2012,1 Maple St,Burlington,NO DATA,NO DATA,NO DATA,NO DATA,Perkins Pier,NO DATA,NO DATA,99,6 - Single Vehicle Crash,NO DATA,,,NO DATA,NO DATA,NO DATA,"Other Public Roadway (Rest Areas, Shopping Center",Unknown,999.99,NO DATA,GEOCODE,Property Damage Only,"(44.48842951, -73.18502430)"
10318,VT0040100,12BU003772,02/13/2012,1 North Ave,Burlington,NO DATA,NO DATA,NO DATA,NO DATA,Parking Lot,1,Feet,99,3 - Same Direction Sideswipe,North,,,NO DATA,NO DATA,NO DATA,"Other Public Roadway (Rest Areas, Shopping Center",Unknown,999.99,NO DATA,GEOCODE,Property Damage Only,"(44.48233473, -73.22110547)"
10319,VT0040100,12BU017731,07/18/2012,1 North Ave,Burlington,NO DATA,NO DATA,NO DATA,NO DATA,North Lot,NO DATA,NO DATA,10,1 - Rear End,NO DATA,,,NO DATA,NO DATA,NO DATA,"Other Public Roadway (Rest Areas, Shopping Center",1 North Ave.,999.99,NO DATA,GEOCODE,Property Damage Only,"(44.48233473, -73.22110547)"
10327,VT0130100,12BF01373,05/20/2012,1 Pond Road,Rockingham,NO DATA,NO DATA,NO DATA,NO DATA,Morgan's Field,100,Feet,25,NO DATA,North,,,NO DATA,NO DATA,NO DATA,"City, Village or Urban Compact Street not in FA Ur",Unknown,999.99,NO DATA,GEOCODE,Property Damage Only,"(43.14406416, -72.45669899)"
10328,VT0010200,12-102-AC,06/07/2012,1┬á LUCIUS SHAW LN,Middlebury,NO DATA,NO DATA,NO DATA,NO DATA,KINNEY DRUGS PLAZA,NO DATA,NO DATA,99,NO DATA,NO DATA,,,NO DATA,NO DATA,NO DATA,"Other Public Roadway (Rest Areas, Shopping Center",Unknown,999.99,NO DATA,GEOCODE,Property Damage Only,"(44.01841682, -73.17247330)"
10329,VT0130200,12BB05437,07/18/2012,10 Brown Court,Brattleboro,NO DATA,NO DATA,NO DATA,NO DATA,10 Brown Court Parking Lot,NO DATA,NO DATA,99,NO DATA,NO DATA,,,NO DATA,NO DATA,NO DATA,"Other Public Roadway (Rest Areas, Shopping Center",Unknown,999.99,NO DATA,GEOCODE,Property Damage Only,"(42.88917747, -72.55334479)"
10330,VT0130200,12BB07465,09/28/2012,10 Canal St,Brattleboro,NO DATA,NO DATA,NO DATA,NO DATA,10 Canal St,NO DATA,NO DATA,25,NO DATA,NO DATA,,,NO DATA,NO DATA,NO DATA,"Other Public Roadway (Rest Areas, Shopping Center",Unknown,999.99,NO DATA,GEOCODE,Property Damage Only,"(42.85007164, -72.55812598)"
10331,VT0140100,12LL00690,07/23/2012,10 Depot St.,Ludlow,NO DATA,NO DATA,NO DATA,NO DATA,11 Depot St.,NO DATA,NO DATA,30,7 - Other - Explain in Narrative,NO DATA,,,NO DATA,NO DATA,NO DATA,"City, Village or Urban Compact Street not in FA Ur",Unknown,999.99,NO DATA,GEOCODE,Property Damage Only,"(43.39754879, -72.70081266)"
10332,VT0130100,12BF01976,07/08/2012,10 George Street,Rockingham,NO DATA,NO DATA,NO DATA,NO DATA,George St,10,Feet,25,NO DATA,North,,,NO DATA,NO DATA,NO DATA,"City, Village or Urban Compact Street not in FA Ur",Unknown,999.99,NO DATA,GEOCODE,Property Damage Only,"(43.13202842, -72.44938136)"
10340,VT0040600,12MT04159,10/10/2012,101 West Milton Rd. #165,Milton,NO DATA,NO DATA,NO DATA,NO DATA,101 West Milton Road,NO DATA,NO DATA,50,7 - Other - Explain in Narrative,NO DATA,,,NO DATA,NO DATA,NO DATA,Private Property (Driveways),Unknown,999.99,NO DATA,GEOCODE,Property Damage Only,"(44.63718016, -73.15135394)"
10341,VT0040600,12MT05216,12/30/2012,101-130 W Milton Road,Milton,NO DATA,NO DATA,NO DATA,NO DATA,Driveway 101-130 W Milton Road,NO DATA,NO DATA,25,7 - Other - Explain in Narrative,NO DATA,,,NO DATA,NO DATA,NO DATA,"Other Public Roadway (Rest Areas, Shopping Center",Unknown,999.99,NO DATA,GEOCODE,Property Damage Only,"(44.62833509, -73.14335629)"
10342,VT0040300,12SB017599,12/30/2012,102 Kimball Ave,South Burlington,NO DATA,NO DATA,NO DATA,NO DATA,,5000,Feet,40,4 - Opp Direction Sideswipe,East,,,NO DATA,NO DATA,NO DATA,Federal Aid Urban System (Class 2 TH's and 3 TH's,"KIMBALL AVE., SOUTH BURLINGTON",999.99,NO DATA,GEOCODE,Property Damage Only,"(44.45613515, -73.14800478)"
10343,VT0040100,2012BU025041,09/25/2012,102 Maple St,Burlington,NO DATA,NO DATA,NO DATA,NO DATA,Pine St,70,Feet,25,1 - Rear End,South,,,NO DATA,NO DATA,NO DATA,Street or Town Highways in FA Urban Area,Unknown,999.99,NO DATA,GEOCODE,Property Damage Only,"(44.47373291, -73.21576175)"
10344,VT0040100,2012BU024054,09/17/2012,1024 North Avenue,Burlington,NO DATA,NO DATA,NO DATA,NO DATA,Rite Aid,NO DATA,NO DATA,99,7 - Other - Explain in Narrative,NO DATA,,,NO DATA,NO DATA,NO DATA,"Other Public Roadway (Rest Areas, Shopping Center",Unknown,999.99,NO DATA,GEOCODE,Property Damage Only,"(44.50503631, -73.24124904)"
10345,VT0040100,2012BU026066,10/09/2012,1024 North Avenue,Burlington,NO DATA,NO DATA,NO DATA,NO DATA,Rite Aid,NO DATA,NO DATA,99,5 - Rear-to-rear,NO DATA,,,NO DATA,NO DATA,NO DATA,"Other Public Roadway (Rest Areas, Shopping Center",Unknown,999.99,NO DATA,GEOCODE,Property Damage Only,"(44.50503631, -73.24124904)"
10353,VT0080200,12ST00529,02/25/2012,1056 Mountain Road,Stowe,NO DATA,NO DATA,NO DATA,NO DATA,Parking Lot,NO DATA,NO DATA,99,NO DATA,NO DATA,,,NO DATA,NO DATA,NO DATA,"Other Public Roadway (Rest Areas, Shopping Center",Unknown,999.99,NO DATA,GEOCODE,Property Damage Only,"(44.47448745, -72.69954106)"
10354,VT0040100,2012BU008669,04/12/2012,106 Hardy Ave,Burlington,NO DATA,NO DATA,NO DATA,NO DATA,Westward Dr,600,Feet,99,7 - Other - Explain in Narrative,North,,,NO DATA,NO DATA,NO DATA,Street or Town Highways in FA Urban Area,Unknown,999.99,NO DATA,GEOCODE,Property Damage Only,"(44.52488550, -73.26775944)"
10355,VT0041000,12WT00198,01/17/2012,1078 Avenue D,Williston,NO DATA,NO DATA,NO DATA,NO DATA,@ Sharp Curve,2000,Feet,25,6 - Single Vehicle Crash,North,,,NO DATA,NO DATA,NO DATA,Street or Town Highways in FA Urban Area,Unknown,999.99,NO DATA,GEOCODE,Injury,"(44.46744306, -73.12465342)"
10356,VT0040100,2012BU015488,06/26/2012,108 Cherry Street,Burlington,NO DATA,NO DATA,NO DATA,NO DATA,Parking Garage,NO DATA,NO DATA,99,7 - Other - Explain in Narrative,NO DATA,,,NO DATA,NO DATA,NO DATA,"Other Public Roadway (Rest Areas, Shopping Center",Unknown,999.99,NO DATA,GEOCODE,Property Damage Only,"(44.47947135, -73.21387848)"
10357,VT0130200,12BB07181,09/17/2012,109 Sunny Acres,Brattleboro,NO DATA,NO DATA,NO DATA,NO DATA,Brattleboro Middle School,NO DATA,NO DATA,99,7 - Other - Explain in Narrative,North,,,NO DATA,NO DATA,NO DATA,"Other Public Roadway (Rest Areas, Shopping Center",Unknown,999.99,NO DATA,GEOCODE,Property Damage Only,"(42.83564866, -72.56171738)"
10358,VT0040100,2012BU02754,02/01/2012,11 Beech St,Burlington,NO DATA,NO DATA,NO DATA,NO DATA,S Union St,NO DATA,NO DATA,25,5 - Rear-to-rear,East,,,NO DATA,NO DATA,NO DATA,Street or Town Highways in FA Urban Area,Unknown,999.99,NO DATA,GEOCODE,Property Damage Only,"(44.46606748, -73.20723790)"
10359,VT0040100,2012BU027037,10/19/2012,11 Elmwood Ave,Burlington,NO DATA,NO DATA,NO DATA,NO DATA,Federal Building,NO DATA,NO DATA,99,7 - Other - Explain in Narrative,NO DATA,,,NO DATA,NO DATA,NO DATA,"Other Public Roadway (Rest Areas, Shopping Center",Unknown,999.99,NO DATA,GEOCODE,Property Damage Only,"(44.48077740, -73.21388190)"
10360,VT0040100,2012BU011332,05/14/2012,11┬á Cedar St,Burlington,NO DATA,NO DATA,NO DATA,NO DATA,11 Cedar St,NO DATA,NO DATA,15,3 - Same Direction Sideswipe,NO DATA,,,NO DATA,NO DATA,NO DATA,Street or Town Highways in FA Urban Area,Unknown,999.99,NO DATA,GEOCODE,Property Damage Only,"(44.48578459, -73.21727083)"
10361,VT0130200,12BB01319,02/21/2012,1104 Ames Hill Rd,Brattleboro,NO DATA,NO DATA,NO DATA,NO DATA,,NO DATA,NO DATA,35,6 - Single Vehicle Crash,South,,,NO DATA,NO DATA,NO DATA,Minor Collector - Non Fed Aid Rural TH,MinCollector,999.99,NO DATA,GEOCODE,Injury,"(42.85158874, -72.66213111)"
10362,VT0040100,2012BU002352,01/27/2012,111 Colchester Ave,Burlington,NO DATA,NO DATA,NO DATA,NO DATA,Parking Garage,NO DATA,NO DATA,99,6 - Single Vehicle Crash,NO DATA,,,NO DATA,NO DATA,NO DATA,"Other Public Roadway (Rest Areas, Shopping Center",Unknown,999.99,NO DATA,GEOCODE,Property Damage Only,"(44.47969000, -73.19453928)"
10363,VT0040100,2012BU003520,02/10/2012,111 Colchester Ave,Burlington,NO DATA,NO DATA,NO DATA,NO DATA,Fletcher Allen Loading Docks,NO DATA,NO DATA,99,7 - Other - Explain in Narrative,NO DATA,,,NO DATA,NO DATA,NO DATA,"Other Public Roadway (Rest Areas, Shopping Center",Unknown,999.99,NO DATA,GEOCODE,Property Damage Only,"(44.47969000, -73.19453928)"
10364,VT0040100,2012BU003825,02/14/2012,111 Colchester Ave,Burlington,NO DATA,NO DATA,NO DATA,NO DATA,FAHC Parking Lot,NO DATA,NO DATA,99,7 - Other - Explain in Narrative,South,,,NO DATA,NO DATA,NO DATA,"Other Public Roadway (Rest Areas, Shopping Center",Unknown,999.99,NO DATA,GEOCODE,Property Damage Only,"(44.47969000, -73.19453928)"
10365,VT0040100,2012BU006345,03/17/2012,111 Colchester Ave,Burlington,NO DATA,NO DATA,NO DATA,NO DATA,Fletcher Allen Pkwy Lot,NO DATA,NO DATA,99,"12 - Left Turn and Thru, Same Direction Sideswipe/Angle Crash vv--",NO DATA,,,NO DATA,NO DATA,NO DATA,"Other Public Roadway (Rest Areas, Shopping Center",Unknown,999.99,NO DATA,GEOCODE,Property Damage Only,"(44.47969000, -73.19453928)"
10366,VT0040100,2012BU007571,03/30/2012,111 Colchester Ave,Burlington,NO DATA,NO DATA,NO DATA,NO DATA,Parking Garage,NO DATA,NO DATA,99,1 - Rear End,NO DATA,,,NO DATA,NO DATA,NO DATA,"Other Public Roadway (Rest Areas, Shopping Center",Unknown,999.99,NO DATA,GEOCODE,Property Damage Only,"(44.47969000, -73.19453928)"
10367,VT0040100,2012BU010265,05/02/2012,111 Colchester Ave,Burlington,NO DATA,NO DATA,NO DATA,NO DATA,FAHC Parking Garage,NO DATA,NO DATA,10,7 - Other - Explain in Narrative,NO DATA,,,NO DATA,NO DATA,NO DATA,"Other Public Roadway (Rest Areas, Shopping Center",Unknown,999.99,NO DATA,GEOCODE,Property Damage Only,"(44.47969000, -73.19453928)"
10368,VT0040100,2012BU012900,05/30/2012,111 Colchester Ave,Burlington,NO DATA,NO DATA,NO DATA,NO DATA,Parking Garage,NO DATA,NO DATA,99,6 - Single Vehicle Crash,NO DATA,,,NO DATA,NO DATA,NO DATA,"Other Public Roadway (Rest Areas, Shopping Center",Unknown,999.99,NO DATA,GEOCODE,Property Damage Only,"(44.47969000, -73.19453928)"
10369,VT0040100,2012BU013506,06/05/2012,111 Colchester Ave,Burlington,NO DATA,NO DATA,NO DATA,NO DATA,Parking Garage,NO DATA,NO DATA,99,1 - Rear End,NO DATA,,,NO DATA,NO DATA,NO DATA,"Other Public Roadway (Rest Areas, Shopping Center",Unknown,999.99,NO DATA,GEOCODE,Property Damage Only,"(44.47969000, -73.19453928)"
10377,VT0040100,2012BU024804,09/25/2012,111 Colchester Ave,Burlington,NO DATA,NO DATA,NO DATA,NO DATA,FAHC,NO DATA,NO DATA,15,6 - Single Vehicle Crash,West,,,NO DATA,NO DATA,NO DATA,"Other Public Roadway (Rest Areas, Shopping Center",Unknown,999.99,NO DATA,GEOCODE,Injury,"(44.47969000, -73.19453928)"
10378,VT0040100,2012BU025669,10/05/2012,111 Colchester Avenue,Burlington,NO DATA,NO DATA,NO DATA,NO DATA,Fletcher Allen Healthcare,NO DATA,NO DATA,99,2 - Head On,NO DATA,,,NO DATA,NO DATA,NO DATA,"Other Public Roadway (Rest Areas, Shopping Center",Unknown,999.99,NO DATA,GEOCODE,Property Damage Only,"(44.47969000, -73.19453928)"
10379,VT0040100,2012BU030821,12/05/2012,111 Colchester Avenue,Burlington,NO DATA,NO DATA,NO DATA,NO DATA,McLure Building Entrance,NO DATA,NO DATA,15,3 - Same Direction Sideswipe,NO DATA,,,NO DATA,NO DATA,NO DATA,"Other Public Roadway (Rest Areas, Shopping Center",Unknown,999.99,NO DATA,GEOCODE,Property Damage Only,"(44.47969000, -73.19453928)"
10380,VT0040100,2012BU30352,11/29/2012,111 Colchester Avenue,Burlington,NO DATA,NO DATA,NO DATA,NO DATA,Parking Garage,NO DATA,NO DATA,99,7 - Other - Explain in Narrative,NO DATA,,,NO DATA,NO DATA,NO DATA,"Other Public Roadway (Rest Areas, Shopping Center",Unknown,999.99,NO DATA,GEOCODE,Injury,"(44.47969000, -73.19453928)"
10381,VT0040100,2012BU016721,07/08/2012,111 Loomis St,Burlington,NO DATA,NO DATA,NO DATA,NO DATA,No Willard St,NO DATA,NO DATA,25,1 - Rear End,East,,,NO DATA,NO DATA,NO DATA,Street or Town Highways in FA Urban Area,Unknown,999.99,NO DATA,GEOCODE,Property Damage Only,"(44.48309387, -73.20485407)"
10382,VT0040100,2012BU026031,10/09/2012,111 Main St,Burlington,NO DATA,NO DATA,NO DATA,NO DATA,Parking Lot,NO DATA,NO DATA,99,5 - Rear-to-rear,NO DATA,,,NO DATA,NO DATA,NO DATA,"Other Public Roadway (Rest Areas, Shopping Center",Unknown,999.99,NO DATA,GEOCODE,Property Damage Only,"(44.47566109, -73.21456630)"
10390,VT0040100,12BU018496,07/22/2012,1127 North Ave,Burlington,NO DATA,NO DATA,NO DATA,NO DATA,Hannaford Parking Lot,NO DATA,NO DATA,10,7 - Other - Explain in Narrative,NO DATA,,,NO DATA,NO DATA,NO DATA,"Other Public Roadway (Rest Areas, Shopping Center",Unknown,999.99,NO DATA,GEOCODE,Property Damage Only,"(44.50650749, -73.24553637)"
