Year,FSCS ID,Town,Library,Mailing Address,Street Address,County,Phone Number,Hours per Week,FY Ends,Population,Hours MLS,ALA MLS,Hours Librarian,FTE Librarians,Hours other,Other Staff,Total Hours,Total FTE,Weekly Volunteer Hrs,Square Feet,Cap. Revenue - Local Taxes,Cap. Revenue - State,Cap. Revenue - Federal, Cap. Revenue - Other ,Total Cap. Revenue , Local Tax , Per Capita Tax ,Other Income, Total Income , State Grant  , Federal Grant , Other Grant , Total Grants , Fee Revenue, Book Expense , E Expense, AV Expense,Total Media Expense , Per Capita Expense, Salaries , Employee Benefits , Total Staff Expense , Other Expense , Total Operating Expense , PC Total Expense ,Grant Expense, Capital Expense ,Adult Books,Juvenile Books,Books,Per Capita Books,E Books,Adult Video,Juvenile Video,Video,Adult Audio,Juvenile Audio,Audio,Total Holdings,Adult Subscriptions,Juvenile Subscriptions,Subscriptions,Databases,E serials,Adult Borrowers,Juvenile Borrowers,Borrowers,% of population who borrow,Visits,Per Capita Visits,Reference Trans.,Per Capita Reference Trans.,Adult Circulation,Juvinile Circulation,Total Circulation,Per Capita Circulation,Collection Turnover,Library Loans Out,Library Loans In,Adult Programs,Juvenile Programs,Young Adult Programs,Total Programs,Adult Prog. Attend.,Juvenile Prog. Attend.,Young Adult Prog. Attend.,Total Program Attendance,Per Capita Prog. Attend.,Home Deliveries,Day Care Deliveries,Other Deliveries,Number of Computers,Public Computers,Computer Trained,Computer Users per Week,Wireless Users per Week,Internet Type,filtered?,Name of filtering program,Meets Standards?,Library Type,Automated?,Automation Vendor,Location 1,ZIP+4,Web address,City
2009-2010,VT0137,SAINT ALBANS,St. Albans Free Library,11 Maiden Ln.,11 Maiden Ln.,Franklin,(802) 524-1507,48.04,06/30/2010,13309,35,0.88,89,2.23,120,3,209,5.23,65,8621,$0.00,$0.00,$0.00,$0.00,$0.00,$294916.00,$22.16,$20171.00,$315087.00,$100.00,$424.00,$0.00,$524.00,$2962.00,$18476.00,$2023.00,N/A,$20499.00,$1.54,$176141.00,$47229.00,$223370.00,$71218.00,$315087.00,$23.67,$542.00,$0 ,23616,12265,35881,2.7,0,N/A,N/A,1176,N/A,N/A,1081,38138,54,19,73,23,0,N/A,N/A,7018,52.73%,74516,5.6,0,0,N/A,N/A,69722,5.24,1.83%,293,354,68,111,46,225,570,3009,1934,5513,0.41,96,63,5,14,8,6,196,N/A,"high speed (e.g. cable, ISDN, DSL, Frame Relay, satellite, etc.)",No,N/A,y-86,Incorporated,Yes,Follett,"11 Maiden Ln.
St. Albans, VT 05478
(44.812905129000455, -73.08188288599968)",1621,www.stalbans.lib.vt.us,St. Albans
2009-2010,VT0132,RUPERT,R.K. Kittay Public,PO Box 53,2827 Rte. 153,Bennington,(802) 394-2444,14,12/31/2009,704,0,0,10,0.25,4,0.1,14,0.35,11,750,$0.00,$0.00,$0.00,$0.00,$0.00,$600.00,$0.85,$20284.00,$20884.00,$0.00,$0.00,$0.00,$0.00,$0.00,$2595.00,$909.00,$1319.00,$4823.00,$6.85,$8840.00,$699.00,$9539.00,$6589.00,$20951.00,$29.76,$0.00,$0 ,3596,1454,5050,7.17,0,300,305,605,299,80,379,5429,0,0,0,0,0,368,180,548,77.84%,676,0.96,156,0.22,1203,1274,2477,3.52,0.46%,0,15,6,4,0,10,25,150,0,175,0.25,0,0,0,2,1,0,2,2,"high speed (e.g. cable, ISDN, DSL, Frame Relay, satellite, etc.)",No,n/a,No,Municipal,Yes,Resource Mate,"2827 Rte. 153
W. Rupert, VT 05776
(43.258653024000466, -73.22454857099967)",53,n/a,W. Rupert
2009-2010,VT0133,RUTLAND,Rutland Free,10 Court St.,10 Court St.,Rutland,(802) 773-1860,50.88,06/30/2010,22835,150,3.75,150,3.75,251,6.28,401,10.03,38,24167,$0.00,$0.00,$0.00,$0.00,$0.00,$715510.00,$31.33,$337314.00,$1052824.00,$100.00,$1505.00,$0.00,$2605.00,$15672.00,$61264.00,$8951.00,$42602.00,$112817.00,$4.94,$506547.00,$193381.00,$699928.00,$184643.00,$997388.00,$43.68,$2605.00,$0 ,60841,26720,87561,3.83,0,5793,1336,7129,3817,528,4345,91906,158,19,177,29,0,13161,2258,15419,67.52%,153452,6.72,6656,0.29,134741,62006,196747,8.62,2.14%,1408,1093,115,95,0,210,1079,1978,0,3057,0.13,111,0,12,28,17,0,1616,N/A,"high speed (e.g. cable, ISDN, DSL, Frame Relay, satellite, etc.)",Children Only,cyberpatrol,y-98,Incorporated,Yes,Sirsi,"10 Court St.
Rutland, VT 05701
(43.6071667220005, -72.97558449699966)",4058,rutlandfree.org,Rutland
2010-2011,VT0176,WELLS,Wells Village,PO Box 587,5 East Wells Rd.,Rutland,(802) 645-0611,6,12/31/2009,1150,6,0.15,6,0.15,0,0,6,0.15,0,864,$0.00,$0.00,$0.00,$0.00,$0.00,$4000.00,$3.48,$1300.00,$5300.00,$0.00,$0.00,$0.00,$0.00,$0.00,$430.00,N/A,N/A,$430.00,$0.37,$3280.00,N/A,$3280.00,$2500.00,$6210.00,$5.40,$0.00,$0 ,4000,1000,5000,4.35,0,0,0,180,0,0,185,5365,0,0,0,0,0,N/A,n/a,415,36.09%,468,0.41,260,0.23,N/A,N/A,275,0.24,0.05%,0,22,0,4,0,4,0,43,0,43,0.04,2,0,0,0,3,2,1,2,3,"high speed (e.g. cable, ISDN, DSL, Frame Relay, satellite, etc.)",No,none,Municipal,Yes,n/a,"5 East Wells Rd.
Wells, VT 05774
(43.41703700800048, -73.20296625999964)",587,none,Wells
2010-2011,VT0032,CANAAN,Alice M. Ward Memorial,PO Box 134,27 Park St.,Essex,(802) 266-7135,28,12/31/2010,972,0,0,39,0.98,28,0.7,67,1.68,0,3114,$0.00,$0.00,$0.00,$0.00,$0.00,$59976.00,$61.70,$27710.00,$87686.00,$100.00,$50.00,$6469.00,$6619.00,N/A,N/A,N/A,N/A,$6393.00,$6.58,$54531.00,$4500.00,$59031.00,$24400.00,$89824.00,$92.41,$6366.00,$0 ,0,0,0,0,0,N/A,N/A,426,N/A,N/A,155,581,10,0,10,0,0,879,239,1118,115.02%,8736,8.99,936,0.96,3708,3096,6804,7,11.71%,22,303,N/A,N/A,N/A,150,406,524,N/A,930,0.96,50,0,28,0,5,4,0,72,15,"high speed (e.g. cable, ISDN, DSL, Frame Relay, satellite, etc.)",No,N/A,Municipal,Yes,Follett,"27 Park St.
Canaan, VT 05903
(44.99548778500048, -71.53898926899967)",134,www.aliceward.org,Canaan
2011-2012,VT0042,CORNWALL,Cornwall Free Public,2629 Rte. 30,2629 Rte. 30,Addison,(802) 462-3615,32,06/30/2012,1159,0,0,0,0,0,0,0,0,5,315,$0.00,$0.00,$0.00,$0.00,$0.00,$3000.00,$2.59,$688.00,$3688.00,$0.00,$0.00,$0.00,$0.00,N/A,N/A,N/A,N/A,$5270.00,$4.55,$0.00,$0.00,$0.00,$1726.00,$6996.00,$6.04,$0.00,$0 ,N/A,N/A,3368,2.91,0,N/A,N/A,628,N/A,N/A,172,4168,N/A,N/A,0,25,0,174,61,235,20.28%,520,0.45,0,0,N/A,N/A,1460,1.26,0.35%,0,10,0,0,0,0,0,0,0,0,0,2,0,0,1,1,15,1,3,high speed,No,n/a,no,Municipal,Yes,ResourceMate,"2629 Rte. 30
Cornwall, VT 05753
(43.96130281100045, -73.20959303199965)",9299,cornwallvt.com,Cornwall
2008-2009,VT0050,DORSET,Dorset Village Public,PO Box 38,Rte. 30,Bennington,(802) 867-5774,35,12/31/2008,2106,0,0,35,0.88,35,0.88,70,1.75,8,3600,$0.00,$0.00,$0.00,$0.00,$0.00,$10000.00,$4.75,$85256.00,$95256.00,,,,$0.00,$0.00,N/A,N/A,N/A,$14369.00,$6.82,$53355.00,$4082.00,$57437.00,$23450.00,$95256.00,$45.23,$0.00,$0 ,12304,6552,18856,8.95,0,857,365,1222,4347,1764,6111,26189,75,0,75,0,0,N/A,N/A,1248,59.26%,12480,5.93,10,0,13296,3697,16993,8.07,64.89%,37,26,1,2,0,3,25,32,0,57,0.03,3,0,0,6,3,50,20,N/A,high speed,No,N/A,98,Incorporated,Yes,Follett,"Rte. 30
Dorset, VT 05251
(43.21269003000049, -73.06728983499966)",38,www.dorsetlibrary.org/,Dorset
2009-2010,VT0095,MILTON,Milton Public Library,39 Bombardier Rd.,39 Bombardier Rd.,Chittenden,(802) 893-4644,53,06/30/2010,10801,0,0,80,2,46,1.14,126,3.14,30,5000,$19556.00,$0.00,$0.00,$0.00,$19556.00,$218729.00,$20.25,$1399.00,$220128.00,$100.00,$264.00,$6226.00,$6590.00,N/A,$22809.00,$2075.00,$8676.00,$33560.00,$3.11,$110381.00,$42933.00,$153314.00,$19533.00,$206407.00,$19.11,$2974.00,"$3,822 ",10107,15491,25598,2.37,0,902,904,1806,1443,571,2014,29418,21,2,23,22,0,N/A,N/A,7051,65.28%,32084,2.97,0,0,26559,40143,66702,6.18,2.27%,136,346,34,411,67,512,484,6092,641,7217,0.67,33,168,18,12,11,2,140,N/A,"high speed (e.g. cable, ISDN, DSL, Frame Relay, satellite, etc.)",Yes,Content Protect,y-86,Municipal,Yes,InfoCentre,"39 Bombardier Rd.
Milton, VT 05468
(44.61967226200045, -73.12415920099966)",3205,www.milton.govoffice2.com,Milton
2009-2010,VT0094,MIDDLETOWN SPRINGS,Middletown Springs Public Library,39 West St.,39 West St.,Rutland,(802) 235-2435,18,06/30/2010,800,0,0,15,0.38,0,0,15,0.38,10,800,$0.00,$0.00,$0.00,$0.00,$0.00,$10125.00,$12.66,$5360.00,$15485.00,$0.00,$50.00,$0.00,$50.00,$0.00,$1800.00,$55.00,$237.00,$2092.00,$2.62,$7231.00,$964.00,$8195.00,$5218.00,$15505.00,$19.38,$892.00,$0 ,2830,2589,5419,6.77,0,429,132,561,178,23,201,6181,5,3,8,23,0,N/A,N/A,234,29.25%,2236,2.8,104,0.13,1608,2055,3663,4.58,0.59%,18,166,28,24,0,52,329,348,0,677,0.85,0,0,2,5,3,0,8,N/A,"high speed (e.g. cable, ISDN, DSL, Frame Relay, satellite, etc.)",No,n/a,y-86,Municipal,Yes,Library World,"39 West St.
Middletown Spgs., VT 05757
(43.485301637000475, -73.12214096699967)",1244,N/A,Middletown Spgs.
2008-2009,VT0139,SHARON,Baxter Memorial,PO Box 87,5114 Rte. 14,Windsor,(802) 763-2875,14,06/30/2009,1328,0,0,15,0.38,0,0,15,0.38,2,875,$0.00,$0.00,$0.00,$0.00,$0.00,$10000.00,$7.53,$8108.00,$18108.00,$40.00,,,$40.00,N/A,$1520.00,$0.00,$110.00,$1630.00,$1.23,$8000.00,$265.00,$8265.00,$6348.00,$16243.00,$12.23,$40.00,$0 ,3370,2046,5416,4.08,0,N/A,N/A,116,N/A,N/A,245,5777,2,0,2,1,0,N/A,N/A,0,0%,2444,1.84,6,0,1885,898,2783,2.1,48.17%,6,70,3,36,0,39,46,249,N/A,295,0.22,0,0,0,2,1,3,7,N/A,high speed,No,N/A,86,Municipal,No,N/A,"5114 Rte. 14
Sharon, VT 05065
(43.78379653500048, -72.45619366299962)",87,none,Sharon
2007-2008,,BARNET/MCINDOES,McIndoes Academy,PO Box 66,37 Academy Ln.,Caledonia,,11,12/31/2007,1779,0,0,11,0.28,0,0,11,0.28,0,1470, $- , $- , $- , $- , $- , $- , $-   ,$6204.00,$6204.00, $- , $- , $- , $- , $- , na , na , na ,$1177.00,$0.66,$4360.00,$647.00,$5007.00,$20.00,$6204.00,$3.49, $- , $- ,na,na,6429,3.61,0,na,na,430,na,na,27,6886,20,0,20,0,0,127,16,143,8%,1040,0.58,156,0.09,1250,300,1550,0.87,0.23%,0,100,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,none,,,none,,,,"37 Academy Ln.
McIndoe Falls, VT 05050
(44.26431504700048, -72.06421331999962)",66,,McIndoe Falls
2009-2010,VT0152,STRAFFORD,Morrill Mem. & Harris,PO Box 110,220 Justin Morrill Hwy.,Orange,(802) 765-4037,19.27,12/31/2009,1075,0,0,25,0.63,0,0,25,0.63,14,2260,$0.00,$0.00,$0.00,$0.00,$0.00,$35800.00,$33.30,$20664.00,$56464.00,$0.00,$71.00,$4500.00,$4571.00,$0.00,$4866.00,$0.00,$1975.00,$6841.00,$6.36,$22373.00,$1743.00,$24116.00,$15308.00,$46265.00,$43.04,$4571.00,$0 ,6146,3386,9532,8.87,0,N/A,N/A,402,N/A,N/A,718,10652,15,0,15,0,0,552,483,1035,96.28%,5928,5.51,52,0.05,N/A,N/A,10373,9.65,0.97%,87,174,15,27,0,42,84,248,0,332,0.31,0,0,0,4,2,0,22,9,"high speed (e.g. cable, ISDN, DSL, Frame Relay, satellite, etc.)",No,N/A,y-86,Incorporated,Yes,Library World,"220 Justin Morrill Hwy.
Strafford, VT 05072
(43.8779418310005, -72.38246586099967)",110,N/A,Strafford
2010-2011,VT0126,RICHFORD,Arvin A. Brown Public,88 Main St.,88 Main St.,Franklin,(802) 848-3313,27.06,12/31/2010,4000,0,0,49,1.23,21,0.51,70,1.74,4,2750,$0.00,$0.00,$0.00,$0.00,$0.00,$50000.00,$12.50,$6984.00,$57285.00,$0.00,$84.00,$359.00,$443.00,$301.00,$3729.00,$518.00,$188.00,$4435.00,$1.11,$37351.00,$4341.00,$41692.00,$11838.00,$57965.00,$14.49,$2334.00,$0 ,6986,4915,11901,2.98,0,N/A,N/A,1262,N/A,N/A,345,13508,N/A,N/A,81,24,0,N/A,N/A,769,19.23%,8372,2.09,0,0,N/A,N/A,12862,3.22,0.95%,43,127,N/A,N/A,N/A,133,N/A,N/A,N/A,1608,0.4,25,0,0,25,11,8,N/A,45,N/A,"high speed (e.g. cable, ISDN, DSL, Frame Relay, satellite, etc.)",No,N/A,Incorporated,Yes,Library World,"88 Main St.
Richford, VT 05476
(44.9950316230005, -72.67298973899966)",66,www.aabrown.org,Richford
2010-2011,VT0206,CLARENDON,Bailey Memorial,PO Box 90,111 Moulton Ave.,Rutland,(802) 747-7743,29,06/30/2011,2571,0,0,29,0.73,0,0,29,0.73,0,1577,$0.00,$0.00,$0.00,$0.00,$0.00,$20000.00,$7.78,$1148.00,$21148.00,$0.00,$0.00,$0.00,$0.00,$0.00,N/A,N/A,N/A,$3885.00,$1.51,$11509.00,$1889.00,$13398.00,$4513.00,$21796.00,$8.48,$0.00,$0 ,7995,5432,13427,5.22,0,255,368,623,328,0,328,14378,0,0,0,0,0,1342,419,1761,68.49%,6552,2.55,364,0.14,N/A,N/A,7068,2.75,0.49%,4,0,10,12,N/A,22,30,50,0,80,0.03,0,0,0,0,3,2,9,10,N/A,"high speed (e.g. cable, ISDN, DSL, Frame Relay, satellite, etc.)",Yes,comcast,Incorporated,Yes,Library World,"111 Moulton Ave.
N. Clarendon, VT 05759
(43.56473169600048, -72.96807770899966)",90,http://www.clarendonvt.org/library.php,N. Clarendon
2009-2010,VT0103,NEWBURY,Tenney Memorial,PO Box 85 ,4886 Main St. S,Orange,(802) 866-5366,20,12/31/2009,1133,0,0,25,0.63,0,0,25,0.63,7,2720,$0.00,$0.00,$0.00,$0.00,$0.00,$13500.00,$11.92,$30482.00,$43982.00,$0.00,$50.00,$0.00,$50.00,$0.00,N/A,N/A,N/A,$5717.00,$5.05,$18172.00,$1535.00,$19707.00,$13691.00,$39115.00,$34.52,$0.00,$0 ,N/A,N/A,13373,11.8,0,N/A,N/A,547,N/A,N/A,203,14123,9,0,9,1,0,225,80,305,26.92%,5512,4.86,728,0.64,5066,1140,6206,5.48,0.44%,28,201,6,0,0,6,180,0,0,180,0.16,15,0,18,6,5,0,30,9,"high speed (e.g. cable, ISDN, DSL, Frame Relay, satellite, etc.)",No,N/A,y-86,Incorporated,No,N/A,"4886 Main St. S
Newbury, VT 05051
(44.08021397800047, -72.05636897499966)",85,N/A,Newbury
2011-2012,VT0218,WEST FAIRLEE,West Fairlee Free Public,894 Route 113   Unit 3,380 Rte. 113,Orange,(802) 333-3502,7,12/31/2011,677,7,0.175,0,0,0,0,0,0,2,1064,$0.00,$0.00,$0.00,$0.00,$0.00,$4140.00,$6.12,$1105.00,$5245.00,$0.00,$0.00,$0.00,$0.00,N/A,$500.00,$0.00,$50.00,$550.00,$0.81,$3640.00,$0.00,$3640.00,$0.00,$4190.00,$6.19,$0.00,$0 ,2328,1822,4150,6.13,0,25,26,51,82,22,104,4305,8,4,12,0,0,67,22,89,13.15%,624,0.92,156,0.23,2725,2020,4745,7.01,1.1%,0,0,2,10,2,14,30,25,N/A,55,0.08,0,0,0,3,1,2,7,2,high speed,No,n/a,no,Municipal,Yes,Resourcemate,"380 Rte. 113
West Fairlee, VT 05083
(43.901970072000495, -72.26327786799965)",8,http://westfairleelibrary.wordpress.com,West Fairlee
2008-2009,VT0010,BARNET/MCINDOES,McIndoes Academy,PO Box 66,37 Academy Lane,Caledonia,(802) 866-5575,11,12/31/2008,1773,0,0,11,0.28,0,0,11,0.28,3,1470,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$6294.00,$6294.00,,,,$0.00,$0.00,$1261.00,$0.00,$0.00,$1261.00,$0.71,$4362.00,$671.00,$5033.00,$0.00,$6294.00,$3.55,$0.00,$0 ,N/A,N/A,6521,3.68,0,N/A,N/A,442,N/A,N/A,30,6993,N/A,N/A,20,0,0,132,20,152,8.57%,936,0.53,2,0,1000,230,1230,0.69,17.59%,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high speed,Children Only,N/A,No,Incorporated,No,N/A,"37 Academy Lane
McIndoe Falls, VT 05050
(44.26431504700048, -72.06421331999962)",66,N/A,McIndoe Falls
2009-2010,VT0123,RANDOLPH,Kimball Public,67 N. Main St.,67 N. Main St.,Orange,(802) 728-5073,36,06/30/2010,6267,40,1,115,2.88,16,0.4,131,3.28,16,4012,$10451.00,$0.00,$0.00,$8059.00,$18510.00,$151250.00,$24.13,$49053.00,$200303.00,$100.00,$337.00,$750.00,$1187.00,$2839.00,$16197.00,$1045.00,$2597.00,$19839.00,$3.17,$104769.00,$42585.00,$147354.00,$30947.00,$198140.00,$31.62,$160.00,"$18,510 ",N/A,N/A,22498,3.59,0,N/A,N/A,715,N/A,N/A,1282,24495,48,2,50,23,0,2793,714,3507,55.96%,34164,5.45,6240,1,18192,20958,39150,6.25,1.6%,246,1182,37,145,N/A,182,421,2805,N/A,3226,0.51,31,256,0,13,7,3,144,N/A,"high speed (e.g. cable, ISDN, DSL, Frame Relay, satellite, etc.)",No,N/A,y-86,Municipal,Yes,Koha,"67 N. Main St.
Randolph, VT 05060
(43.9251214680005, -72.66570623999962)",1105,www.KimballLibrary.org,Randolph
2011-2012,VT0113,PEACHAM,Peacham,PO Box 253,656 Bayley Hazen Rd.,Caledonia,(802) 592-3216,19.65384615,06/30/2012,822,0,0,26,0.65,2,0.05,28,0.7,11,4224,$0.00,$0.00,$0.00,$0.00,$0.00,$6500.00,$7.91,$22130.00,$28630.00,$100.00,$55.00,$500.00,$655.00,N/A,$3756.00,$317.00,$476.00,$4549.00,$5.53,$18912.00,$1447.00,$20359.00,$19795.00,$44703.00,$54.38,$655.00,$0 ,5919,3240,9159,11.14,0,335,215,550,239,36,275,9984,37,2,39,25,0,N/A,N/A,548,66.67%,9516,11.58,156,0.19,3132,3301,6433,7.83,0.64%,38,342,121,44,N/A,165,1750,494,N/A,2244,2.73,8,0,0,7,5,144,30,6,high speed,No,N/A,y-98,Incorporated,Yes,LibraryWorld,"656 Bayley Hazen Rd.
Peacham, VT 05862
(44.32886892100049, -72.17048328299967)",253,peachamlibrary.org,Peacham
2011-2012,VT0028,"BURKE, WEST",West Burke,135 Main St.,135 Main St.,Caledonia,(802) 467-3328,N/R,N/R,268,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,900,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0,N/R,N/R,N/R,N/A,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/A,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,no app.,N/R,N/R,N/R,"135 Main St.
West Burke, VT 05871
(44.664396516000465, -71.95556906999963)",243,N/R,West Burke
2009-2010,VT0128,ROCHESTER,Rochester Public Library,PO Box 256,22 S. Main St.,Windsor,(802) 767-3927,18.85,06/30/2010,1122,0,0,22,0.55,2,0.04,24,0.59,10,2000,$0.00,$0.00,$0.00,$7230.00,$7230.00,$33114.00,$29.51,$33291.00,$66405.00,$0.00,$143.00,$0.00,$143.00,$0.00,$11005.00,$201.00,$1257.00,$12463.00,$11.11,$20848.00,$10602.00,$31450.00,$20331.00,$64244.00,$57.26,$143.00,"$4,844 ",N/A,N/A,19421,17.31,0,N/A,N/A,781,N/A,N/A,541,20743,38,4,42,21,0,N/A,N/A,1279,113.99%,6136,5.47,1352,1.2,7909,3725,11634,10.37,0.56%,71,162,22,19,3,44,344,185,10,539,0.48,6,0,48,8,5,0,60,12,"high speed (e.g. cable, ISDN, DSL, Frame Relay, satellite, etc.)",No,NA,y-86,Municipal,Yes,Mandarin,"22 S. Main St.
Rochester, VT 05767
(43.87413500500048, -72.80829849099968)",256,www.rochestervtpubliclibrary.com,Rochester
2008-2009,VT0007,BAKERSFIELD,H. F. Brigham Free,PO Box 5,104 Main St.,Franklin,(802) 827-4414,20,12/31/2007,1402,0,0,17,0.43,6.5,0.16,23.5,0.59,10,1792,$0.00,$0.00,$0.00,$0.00,$0.00,$21000.00,$14.98,$6106.00,$27106.00,$50.00,,,$50.00,N/A,$2660.00,N/A,N/A,$2660.00,$1.90,$14355.00,$1098.00,$15453.00,$7930.00,$26043.00,$18.58,$0.00,$0 ,4656,4300,8956,6.39,0,0,0,638,602,0,602,10196,11,1,12,0,0,N/A,N/A,0,0%,3848,2.74,10,0.01,2623,1356,3979,2.84,39.03%,28,41,50,N/A,50,100,349,610,N/A,959,0.68,N/A,N/A,N/A,3,2,5,23,4,high speed,No,N/A,86,Municipal,No,na,"104 Main St.
Bakersfield, VT 05441
(44.78354006300049, -72.80112452199967)",5,bakersfield@vals.state.vt.us,Bakersfield
2010-2011,VT0070,HARDWICK,Jeudevine Memorial,PO Box 536,93 N. Main St.,Caledonia,(802) 472-5948,29.85,06/30/2011,3010,30,0.75,29,0.73,10,0.25,39,0.98,5,987,$27352.00,$0.00,$0.00,$4300.00,$31652.00,$74367.00,$24.71,$3259.00,$77626.00,$1770.00,$148.00,$8385.00,$10303.00,$0.00,$5278.00,$536.00,$897.00,$6711.00,$2.23,$39910.00,$15343.00,$55253.00,$13621.00,$75585.00,$25.11,$10303.00,"$31,652 ",N/A,N/A,12764,4.24,1033,N/A,N/A,638,N/A,N/A,409,13811,37,3,40,24,0,1170,646,1816,60.33%,13468,4.47,1924,0.64,N/A,N/A,16333,5.43,1.18%,43,360,24,139,62,225,301,3202,384,3887,1.29,70,3,0,4,10,6,56,83,29,"high speed (e.g. cable, ISDN, DSL, Frame Relay, satellite, etc.)",No,N/A,Municipal,No,Library World,"93 N. Main St.
Hardwick, VT 05843
(44.5056811340005, -72.36523337799963)",536,www.jeudevinememoriallibrary.org,Hardwick
2010-2011,VT0025,BROOKFIELD,Brookfield Free Public,PO Box 469,40 Ralph Rd.,Orange,(802) 276-3358,14,12/31/2010,1292,0,0,14,0.35,0,0,14,0.35,2,527,$0.00,$0.00,$0.00,$0.00,$0.00,$14750.00,$11.42,$200.00,$14950.00,$0.00,$50.00,$0.00,$50.00,N/A,N/A,N/A,N/A,$2600.00,$2.01,$10400.00,$546.00,$10946.00,$1750.00,$15296.00,$11.84,$0.00,$0 ,2450,2100,4550,3.52,0,152,112,264,N/A,N/A,82,4896,17,2,19,0,0,N/A,N/A,327,25.31%,1300,1.01,416,0.32,N/A,N/A,2986,2.31,0.61%,7,58,7,28,1,36,166,418,22,606,0.47,26,0,0,0,1,1,2,5,N/A,"high speed (e.g. cable, ISDN, DSL, Frame Relay, satellite, etc.)",No,n/a,Municipal,No,n/a,"40 Ralph Rd.
Brookfield, VT 05036
(44.04322723600046, -72.60283777999967)",469,N/A,Brookfield
2007-2008,,LONDONDERRY,South Londonderry Free,PO Box 95,15 Old School St.,Windham,8028243371,21,06/30/2008,1917,0,0,20,0.5,4,0.1,24,0.6,21,1732, $- , $- , $- , $- , $- ,$7500.00,$3.91,$33920.00,$41420.00,$200.00, $- , $- ,$200.00, $- ,$3700.00, $- ,$500.00,$4200.00,$2.19, na , na ,$25586.00,$7434.00,$37220.00,$19.42,$200.00, $- ,13651,4118,17769,9.27,0,80,231,311,538,75,613,18693,28,3,31,19,0,na,na,na,na,3640,1.9,520,0.27,5140,1735,6875,3.59,0.37%,30,215,5,12,,17,80,415,,495,0.26,3,26,0,7,6,10,29,10,high speed,no,,86,,,,"15 Old School St.
S. Londonderry, VT 05155
(43.19087902500047, -72.81245120499966)",95,www.londonderryvt.org/library.html,S. Londonderry
2007-2008,,ARLINGTON,Martha Canfield Memorial,PO Box 267 ,528 E. Arlington Rd.,Bennington,8023756153,35,12/31/2007,3663,0,0,28,0.7,23,0.58,51,1.28,40,9000, $- , $- , $- ,$2400.00,$2400.00,$17382.00,$4.75,$91275.00,$108657.00, $- ,$3660.00,$250.00,$3910.00, $- ,$7278.00,$261.00,$1136.00,$8675.00,$2.37,$32999.00,$6061.00,$39060.00,$34263.00,$81998.00,$22.39,$3972.00,"$2,800 ",20881,8055,28936,7.9,0,1237,332,1569,2220,363,2583,33088,52,10,62,20,0,1788,535,2323,63.4%,15132,4.13,936,0.26,13654,7455,21109,5.76,0.64%,252,533,7,32,,39,98,321,,419,0.11,10,10,0,11,6,42,63,2,high speed,no,,98,,,,"528 E. Arlington Rd.
Arlington, VT 05250
(43.06519393600047, -73.15227116199964)",267,marthacanfieldlibrary.org,Arlington
2008-2009,VT0196,WOODSTOCK,Norman Williams Public,10 South Park St.,11 South Park St.,Windsor,(802) 457-2295,42,06/30/2009,3133,0,0,70,1.75,142,3.55,212,5.3,12,15000,$0.00,$0.00,$0.00,$0.00,$0.00,$146000.00,$46.60,$176440.00,$322440.00,$1121.00,,,$1121.00,$7978.00,$15314.00,$175.00,$6916.00,$22405.00,$7.15,$154636.00,$20350.00,$174986.00,$99089.00,$296480.00,$94.63,$0.00,$0 ,37599,7872,45471,14.51,23,844,707,1551,1404,599,2003,49048,68,13,81,3,0,N/A,N/A,3972,126.78%,59800,19.09,62,0.02,31301,19273,50574,16.14,103.11%,1244,709,16,279,N/A,295,190,3049,N/A,3239,1.03,3,0,0,24,13,0,166,23,high speed,No,N/A,86,Incorporated,Yes,Mandarin,"11 South Park St.
Woodstock, VT 05091
(43.6246196400005, -72.51952381199965)",1212,www.normanwilliams.lib.vt.us,Woodstock
