Dataset name,Data system name,Organization/Agency,Organization Collecting or Managing,Website,Contact Name,Contact email,Contact phone,Description,Purpose,Source Dataset,Type of Data,Data collection method,Years collected,Data Storage format,Data Storage Location,Database Size,Is the dataset available to the public?,Data user / Audience,Data output format,Use Restriction Details,Type of Use Restriction,Special Request Possible,Special Request Cost,Special Request Contact Info,Metadata,Data Documentation,Metadata Format,Acquisition cost,Operations and Management Cost,FTE,Funding -%Federal,Funding: %State,Funding: %Private,Funding: %Foundation,VHCIP Priority,Is Data Related to Payment Reform,Comments,Last Updated By,VT HIT Inv: Integrated systems,VT HIT Inv: Integrated data feeds,VT HIT Inv: Divisions served,VT HIT Inv: Where is data stored
FSD Report Server,FSD Report Server,Department for Children and Families (DCF) / ,,, Margo Bryce,margo.bryce@state.vt.us,,"Outcomes reporting, data entry issues/monitoring, foster parent information used for placement of children in custody, point-in-time information about caseload, reporting at a caseload level to analyze district performance..  allows end users in various roles to easily obtain case detail information or statewide outcome information to better understand performance.",,,"Youth
Utilization
Services Provided
Clinical",,,,,,No access to data,,,,None,No,,,Low,,,,,,,,,,Low,No,,,SSMIS,,DCF-FSD,
EZPay4Kids,EZPay4Kids,Department for Children and Families (DCF) / ,,, Christine Cassel,christine.cassel@state.vt.us,,This is the mechanism for which Ocs accepts credit card and ACH payments from Non-Custodial Parents. We have no mechanism to collect credit card payments without this application and the mainframe has very limited functioanlity to collect ACH payments..  We collect payments made by credit card and ACH with this application.,,,"Youth
Financial",,,,,,No access to data,,,,None,No,,,Low,Documented but not current,,,,,,,,,Low,No,,,ACCESS,"TD Bank, VIC",DCF-OCS,
ESD Fraud DB [Access],ESD Fraud DB [Access],Department for Children and Families (DCF) / ,,, Donna Hosking,donna.hosking@state.vt.us,,"tracks all fraud referrals and statistical data needed to report necessary information to the Feds and departmentally as well.  Keep track of investigations, who has them, when they are done, results, overpayments..  tracks all fraud referrals and statistical data needed to report necessary information to the Feds and departmentally as well.  Keep track of investigations, who has them, when they are done, results, overpayments.",,,"Inspection
Financial",,,,,,No access to data,,,,None,No,,,Low,,,,,,,,,,Low,No,,,,,DCF-ESD,
Prisoner Electronic Health Records (ERMA),Prisoner Electronic Health Records (ERMA),Department of Corrections (AHS) / ,,,Dr. Dolores Burroughs-Biron,dee.burroughs-biron@state.vt.us,,ERMA is the CCS Electronic Health Records System and is used by healthcare providers for entering data on inmate Health care.  Provides electronic health record for CCS inmates.,,,"Services Provided
Clinical
Claim",,,,,,No access to data,,,,None,No,,,Low,No documentation,,,,,,,,,Low,No,,David Healy,PAS,Maxor,DOC-Health,
EncoderPro,EncoderPro,Department of Vermont Health Access (AHS DVHA) / ,,, Leanne Miles,leanne.miles@state.vt.us,,"This web-based, subscription-only application provides electronic coding details and national correct coding initiative regulations.  This tool is used to ensure/validate correct coding of medical claims to support Program Integrity reviews and investigations..  This is an electronic tool to define what is located in several paper-based coding manuals.  This also provides images, laymans terms, correct coding initiatives, coverage restricitions, quantity limitations and more.",,,Reference,,,,,,No access to data,,,,None,No,,,Low,Not applicable,,,,,,,,,Low,No,,,,,DVHA-MPFS,
Iron Data,Iron Data,Department for Children and Families (DCF) / ,,,"McCormack, Jack",jack.mccormack@state.vt.us,,"All functions associated with the adjudication and processing of Social Security Disability claims and a small number of State Medicaid disability claims..  To provide applicants with accurate disability decisions as quickly as possible, as governed by Social Security federal statutes, regulation and policy.",,,Financial,,,,,,No access to data,,,,None,No,,,Low,Not applicable,,,,,,,,,Low,No,,,SSMIS,VISION,DCF-DDS,
Client Tracking Tool (CWS),Client Tracking Tool (CWS),"Department of Disabilities, Aging and Independent Living (DAIL) / ",,,"Porter, Alice",alice.porter@state.vt.us,,"gathers process and outcomes data for employment staff working with AHS customers through the Creative Workforce Solutions partnership.  gather information on CWS customer identities, employment profile, demographics; employment and training activities and services engaged in through CWS; and job placements and employment outcomes.",,,"Workforce
Employment and Wages",,,,,,No access to data,,,,None,No,,,Low,Documented but not current,,,,,,,,,Low,No,,,,,DAIL-DVR,
CIS [Access],CIS [Access],Department for Children and Families (DCF) / ,,,"Garbarino, Karen",karen.garbarino@state.vt.us,,Collects data and produces required federal reports for children receiving CIS/Early Intervention services.  Collects data and produces required federal reports for children receiving CIS/Early Intervention services,,,Youth,,,,,,No access to data,,,,None,No,,,Low,,,,,,,,,,Low,No,,,"MMIS, ACCESS",,DCF-CDD,
Children's Commitments [Excel],Children's Commitments [Excel],Department of Mental Health / ,,,"Snyder, Bill",bill.snyder@state.vt.us,,"This spreadsheet is used to maintain all the individual children's budgets for the Children's Unit.   Within the Children's appropriation, we have budgets for our PNMI, Waiver and ISB programs.   This spreadsheet shows all the individual clients budgets within the program so that at any given time, the dept will know where it stands within it's individual appropriation..  It tracks our budget and lets us know what we have internally encumbered against the given budget.",,,Youth,,,,,,No access to data,,,,None,No,,,Low,,,,,,,,,,Low,No,,,,,DMH-CAFU,
BOND Operations Data System,BOND Operations Data System,"Department of Disabilities, Aging and Independent Living (DAIL) / ",,,"Burt, Peter",peter.burt@state.vt.us,,"The BODS database is a web-based system used by some of the VR benefits counselor to record data and manage actions for consumers they serve who participate in a Social Security Administration demonstration project, the Benefit Offset National Demonstration. BODS is a system provided and maintained by an external Social Security Administration contractor..  BODS is used to manage information and support individuals participating the BOND demonstration that is testing the impact of a particular work incentives to encourage individuals receiving Social Security Disability benefits to return to work.",,,"Workforce
Income
Employment and Wages",,,,,,No access to data,,,,None,No,,,Low,,,,,,,,,,Low,No,,,,,DAIL-DVR,
Assistive Technology for All,Assistive Technology for All,"Department of Disabilities, Aging and Independent Living (DAIL) / ",,,"Fulcher, Amber",amber.fulcher@state.vt.us,,"It is used for our internal program inventory management, as a web-based tool for the public to view our inventory and request equipment loans, and to manage federal data for our equipment loan and demonstration functions.  managing AT Program inventory (location, pricing, vendor information); automating data collection; providing a user-friendly interface for consumers to search program inventory and request equipment loans",,,"Reference
Services Provided",,,,,,No access to data,,,,None,No,,,Low,Not applicable,,,,,,,,,Low,No,,,,,"DAIL-DVR, DAIL-ASD",
Aspen Suite [ACO/ACTS/ASEQ/QIS],Aspen Suite [ACO/ACTS/ASEQ/QIS],"Department of Disabilities, Aging and Independent Living (DAIL) / ",,,"Wehmeyer, Tammy",tammy.wehmeyer@state.vt.us,,ASPEN Suite of products is federally mandated programs utilized in the monitoring and conducting of federally required surveys in health care facilities..  This is a federally mandated program for S & C and access is limited to the data and information that resides in this program.,,,"Inspection
Survey",,,,,,No access to data,,,,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,,,,"DAIL-DLP, DCF-FSD",
Automated Forms Generation,Automated Forms Generation,Department for Children and Families (DCF) / ,,,"Cassel, Christine",christine.cassel@state.vt.us,,"Provide required notices to customers in a timely manner.  By having notices in this system, they are standardized for staff achieving the goal of having a professional and consistent message going to our customers. Staff also uses AFG to generate packages for filing with the court..  Provide required notices to customers in a timely manner.",,,Unknown,,,,,,No access to data,,,,None,No,,,Low,Documented but not current,,,,,,,,,Low,No,,,"ACCESS, OnBase",,DCF-OCS,
Community Health Networks Survey,Community Health Networks Survey,Department of Vermont Health Access (DVHA) / Blueprint for Health Program,,,Tim Tremblay,timothy.tremblay@state.vt.us,(802) 654-8923,Assessment of Vermont’s Health Service Area (HSA) Health and Human Service Networks.  Survey of organizational networks and operational relationships.,,,Survey,,2014+,,,,Aggregate data only,,,,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,Tim Tremblay,,,,
CAHPS Patient Experience Survey,CAHPS Patient Experience Survey,Department of Vermont Health Access (DVHA) / Blueprint for Health Program,,https://cahps.ahrq.gov/,Jenney Samuelson,jenney.samuelson@state.vt.us,(802) 654-8929,Consumer Assessment of Healthcare Providers and Systems (CAHPS) survey.  Patient experience survey.  Joint project of the Green Mountain Care Board and the Blueprint for Health program.  2015 results pending.,,,Survey,,2014+,,,,Aggregate data only,,,,None,No,,,Low,Full current documentation,,,,,,,,,Low,Yes,,Tim Tremblay,,,,
National Immunization Survey,National Immunization Survey,Center for Disease Control (CDC) (Federal) / ,,http://www.cdc.gov/nchs/nis.htm,,,,"The National Immunization Survey (NIS) is sponsored by the National Center for Immunizations and Respiratory Diseases (NCIRD) and conducted jointly by NCIRD and the National Center for Health Statistics (NCHS), Centers for Disease Control and Prevention. The NIS is a list-assisted random-digit-dialing telephone survey followed by a mailed survey to children’s immunization providers that began data collection in April 1994 to monitor childhood immunization coverage.",,,Survey,,,,,,Aggregate data only,,"MS Excel
Report (PDF, Word)",,None,No,,,Low,Full current documentation,,,,,,,,,Low,Yes,,Barbara Patterson,,,,
County Health Rankings,County Health Rankings,Robert Wood Johnson Foundation / ,,http://www.countyhealthrankings.org/,,,,,,Behavioral Risk Factor Surveillance System (BRFSS),Population,,,,,,No access to data,Public,Web Application - Public,,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
Community Health Status Indicators (CHSI 2015),Community Health Status Indicators (CHSI 2015),Center for Disease Control (CDC) (Federal) / ,,http://wwwn.cdc.gov/CommunityHealth/,,,,"CHSI 2015 is an interactive web application that produces health profiles for all 3,143 counties in the United States. Each profile includes key indicators of health outcomes, which describe the population health status of a county and factors that have the potential to influence health outcomes, such as health care access and quality, health behaviors, social factors and the physical environment.",,,Population,,,,,,Aggregate data only,,Web Application - Public,,None,No,,,Low,Full current documentation,,,,,,,,,Low,Yes,,Barbara Patterson,,,,
Third Party LIability (TPL) Case and Transactions Management Web Site,Third Party LIability (TPL) Case and Transactions Management Web Site,Department of Vermont Health Access (AHS DVHA) / ,,http://vtmedicaid.com/Downloads/forms.html,Debbie Austin,debbie.austin@state.vt.us,,"OVHABase application, forward-only architecture; the TPL (Third Party Liability) System provides case management and transaction recording and reporting features to the Coordination of Benefits unit for State Medicaid (DVHA). Recoveries and recoupments are recorded and reported on through this system.",,,Unknown,,,,,,No access to data,,,,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
Health Indicators Warehouse,Health Indicators Warehouse,Center for Disease Control (CDC) (Federal) / ,,http://www.healthindicators.gov/,,,,"Access to high quality data improves understanding of a community’s health status and determinants, and facilitates the prioritization of interventions. The purpose of the HIW is to:<br />Provide a single, user-friendly, source for national, state, and community health indicators<br />Meet needs of multiple population health initiatives<br />Facilitate harmonization of indicators across initiatives<br />Link indicators with evidence-based interventions<br />Serve as the data hub for the HHS Community Health Data Initiative, a flagship HHS open government initiative to release data; encourage innovative application development; and catalyze change to improve community health",,,Population,,,,,,Aggregate data only,,Web Application - Public,,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
CDC Diabetes County Atlas,CDC Diabetes County Atlas,Center for Disease Control (CDC) (Federal) / ,,http://www.cdc.gov/diabetes/atlas/countydata/atlas.html,,,,,,,Population,,,,,,Aggregate data only,Public,Web Application - Restricted Access,,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
CDC Wonder,CDC Wonder,Center for Disease Control (CDC) (Federal) / ,,http://wonder.cdc.gov/,,,,"CDC WONDER -- Wide-ranging Online Data for Epidemiologic Research -- an easy-to-use, menu-driven system that makes the information resources of the Centers for Disease Control and Prevention (CDC) available to public health professionals and the public at large. It provides access to a wide array of public health information.<br /><br />CDC WONDER furthers CDC's mission of health promotion and disease prevention by speeding and simplifying access to public health information for state and local health departments, the Public Health Service, and the academic public health community. CDC WONDER is valuable in public health research, decision making, priority setting, program evaluation, and resource allocation.",,,Population,,,,,,Aggregate data only,Public,Web Application - Public,,None,No,,,Low,Full current documentation,,,,,,,,,Low,Yes,,Barbara Patterson,,,,
 Vermont Personal Income Tax Returns by Town and Income Class, Vermont Personal Income Tax Returns by Town and Income Class,Department of Taxes / ,,http://www.state.vt.us/tax/pdf.word.excel/statistics/,,,," Tax returns by town and income class, also median income.",,,Income,,2000-2013,,,,Aggregate data only,Public,"MS Excel
Report (PDF, Word)",,None,No,,,Low,No documentation,,,,,,,,,Low,Yes,,Charlie Hofmann,,,,
SAFTINet,SAFTINet,Bi-State Primary Care Association / ,,http://www.ucdenver.edu/academics/colleges/medicalschool/programs/outcomes/ACCORDS/saftinet/Pages/default.aspx,Heather Skeels,hskeels@bistatepca.org,(802) 229-0002,"A distributed data network whose mission is to generate, implement, and disseminate evidence to enhance the quality and value of health care for safety net patient populations",,,Clinical,,2010-2014,,,,No access to data,,No Access / No Publication,,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,Heather Skeels,,,,
Board of Nursing Relicensure Survey Reports,Board of Nursing Relicensure Survey Reports,UVM - AHEC / ,,http://www.uvm.edu/medicine/ahec/?Page=Reports.html,,,,"Individual reports for LPN,RN,APRN, CNM, CNS,NP,CRNA",,,"Survey
Employment and Wages
Provider Information",,2013,,,,Aggregate data only,,"Report (PDF, Word)",,None,No,,,Low,No documentation,,,,,,,,,Low,No,,Charlie Hofmann,,,,
Vermont Primary Care Workforce Reports,Vermont Primary Care Workforce Reports,UVM - AHEC / ,,http://www.uvm.edu/medicine/ahec/documents/AHEC2013PCReport2014_01_28_001.pdf,,,,,,,"Survey
Employment and Wages",,2008-2013,,,,Aggregate data only,,"Report (PDF, Word)",,None,No,,,Low,No documentation,,,,,,,,,Low,No,,Charlie Hofmann,,,,
Vermont Secretary of State Conduct Decisions,Vermont Secretary of State Conduct Decisions,Secretary of State - Office of Professional Regulation / ,,https://www.sec.state.vt.us/professional-regulation/conduct-decisions/search-conduct-decisions-by-profession.aspx,,,,,,,Licensing,,,,,,"Yes, record level data available",Public,Web Application - Public,,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
Blueprint for Health Practice Profiles,Blueprint for Health Practice Profiles,Department of Vermont Health Access (DVHA) / Blueprint for Health Program,,,Tim Tremblay,timothy.tremblay@state.vt.us,(802) 654-8923,"Blueprint practice-level profiles of clinical quality and healthcare outcomes data for primary care practices, combining claims, clinical, and survey data.",,,"Survey
Clinical
Claim",,2012+,,,,No access to data,,,,None,No,,,Low,Full current documentation,,,,,,,,,Low,Yes,,Tim Tremblay,,,,
Blueprint for Health Hospital Service Area Profiles,Blueprint for Health Hospital Service Area Profiles,Department of Vermont Health Access (DVHA) / Blueprint for Health Program,,http://blueprintforhealth.vermont.gov/node/680,Tim Tremblay,timothy.tremblay@state.vt.us,(802) 654-8923,"Hospital Service Area profiles of healthcare quality and outcomes data for primary care practices, combining claims, clinical, and survey data.",,,"Survey
Clinical
Claim",,2013+,,,,Aggregate data only,,,,None,No,,,Low,Full current documentation,,,,,,,,,Low,Yes,,Tim Tremblay,,,,
"Health Care : Number of eligible recipients in VT by county, Disenrollment Report by Month","Health Care : Number of eligible recipients in VT by county, Disenrollment Report by Month",Department for Children and Families (DCF) / Economic Services,,http://dcf.vermont.gov/esd/statistics,,,,Vermont Medicaid Premium Coverage Group Closures: Preliminary Report ,,,Coverage,,Dec 2006 - June 2013,,,,Aggregate data only,,MS Excel,,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
Blueprint for Health Reports And Analytics Webpage,Blueprint for Health Reports And Analytics Webpage,Department of Vermont Health Access (DVHA) / Blueprint for Health Program,,http://blueprintforhealth.vermont.gov/reports_and_analytics,Tim Tremblay,timothy.tremblay@state.vt.us,(802) 654-8923,"Annual Reports and Other Reports (Legislative Reports, etc.)",,,Services Provided,,,,,,Aggregate data only,,,,None,No,,,Low,Full current documentation,,,,,,,,,Low,Yes,,Tim Tremblay,,,,
Medicare Fee Schedules,Medicare Fee Schedules,Centers for Medicare and Medicaid Services (CMS) / ,,http://www.cms.gov/Medicare/Medicare-Fee-for-Service-Payment/FeeScheduleGenInfo/index.html,,,,"Information on Medicare payments by geography to physicians, ambulance services, laboratories, and medical equipment sellers.",,,Financial,,Varies,,,,Yes,"Policymakers
Practitioners (Health Care and Others)",CSV - Comma Separated Text File,Must accept AMA license for use of CPT codes,,,,,Low,,,,,,,,,,Low,No,,Steven Kappel,,,,
Blueprint for Health Practice and Provider Database (Portal),Blueprint for Health Practice and Provider Database (Portal),Department of Vermont Health Access (DVHA) / Blueprint for Health Program,Department of Vermont Health Access (DVHA) / Blueprint for Health Program,https://blueprintforhealthportal.vermont.gov/,Tim Tremblay,timothy.tremblay@state.vt.us,(802) 654-8923,"Web database application of Blueprint practice, provider, and Community Health Team staffing information.  Contains National Committee for Quality Assurance (NCQA) assessment scores for nationally-recognized Patient-Centered Medical Home (PCMH) practices in Vermont.",The mandate is for the Blueprint program itself. Legislative made for the Blueprint.,,Provider Information,,2014+,,Contractor Cloud,100 MB - 1 GB,No access to data,,Web Application - Restricted Access,,"Agency restriction, Other federal restriction",Yes,,,Complete,Full current documentation,Hard copy available,,,>5,,,,,High,Yes,critical component of what Blueprint is doing for Vermont's health care reform efforts in terms of quality measures and health outcomes,Barbara Patterson,,"This info is used to generate (Blueprint, Insurers, Onpoint) as basis for doing patient attributions. To generate pcmh payments and cht payments, do healthcare. Pull together an extract from portal into standardaized format and send to insurers, medicaid, medicare, and OnPoint. Use NPI to join this info to claims data.aggregate patient attribution ",,
Blueprint for Health Website,Blueprint for Health Website,Department of Vermont Health Access (DVHA) / Blueprint for Health Program,,http://blueprintforhealth.vermont.gov/,Jen Le,jennifer.le@state.vt.us,(802) 654-8931,Program website.,,,Unknown,,2008+,,,,Aggregate data only,,,,None,No,,,Low,Full current documentation,,,,,,,,,Low,Yes,,Tim Tremblay,,,,
"Reach Up Monthly Report by District Office: Number of families, recipients, and total benefit amount","Reach Up Monthly Report by District Office: Number of families, recipients, and total benefit amount",Department for Children and Families (DCF) / Economic Services,,http://dcf.vermont.gov/sites/dcf/files/pdf/esd/stats/RU%20District.pdf,,,,,,,Services Provided,,,,,,Aggregate data only,Public,"Report (PDF, Word)",,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
Health Laboratory Services - Private Well Drinking Water Test Services,Health Laboratory Services - Private Well Drinking Water Test Services,Department of Health (AHS) / Division of Health Surveillance,,http://healthvermont.gov/enviro/ph_lab/water_test.aspx,Mary Celotti,mary.celotti@state.vt.us,,,,,Surveillance,,,,,,No access to data,,,,None,No,,,Low,No documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
Food Processor,Food Processor,Department of Health (AHS) / ,,,Malai Holland,malai.holland@state.vt.us,,"The Food Processor is a database that enables nutrition professionals to evaluate client dietary and fitness needs, calculate nutrient recommendations, analyze nutrient intake, plan meals, develop exercise programs and present the data in a variety of formats.",,,Services Provided,,,,,,No access to data,,,,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
Medical Practice Board Licensing System (CAVU),Medical Practice Board Licensing System (CAVU),Department of Health (AHS) / Medical Practice Board ,,https://webmail.vdh.state.vt.us/CAVU/,Karen LaFond,karen.lafond@state.vt.us,,"Online application, renewal and credential management system for health care professionals who are licensed or certified by the Vermont Board of Medical Practice.",,,"Workforce
Provider Information",,,,,,No access to data,,,,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
WIC Appointments Pro scheduling software,WIC Appointments Pro scheduling software,Department of Health (AHS) / ,,,Lisa Fitzgerald,lisa.fitzgerald@state.vt.us,,Appointments Pro database used by the WIC program,,,Unknown,,,,,,No access to data,,,,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
Patient Safety Surveillance and Improvement System (PSSIS) ,Patient Safety Surveillance and Improvement System (PSSIS) ,VPQHC / ,,http://healthvermont.gov/hc/patientsafety.aspx,Deb Wilcox,deb.wilcox@state.vt.us,,"The Patient Safety Surveillance and Improvement System (PSSIS) was created for the purpose of improving patient safety, eliminating adverse events in Vermont hospitals, and supporting a facilitating quality improvement efforts by hospitals. The Vermont Department of Health is charged by statute to operate the PSSIS, and contracts with the Vermont Program for Quality in Health Care (VPQHC) to administer the System.<br /><br />Each Vermont hospital must report to the Patient Safety Surveillance and Improvement System incidences of any of the National Quality Forum’s serious reportable events(exit VDH); and for each event:<br />Conduct an appropriate causal analysis; Develop and implement a corrective action plan; and File the causal analysis and corrective action plan with the Patient Safety Surveillance and Improvement System",,,"Surveillance
Clinical",,,,,,No access to data,,,,None,No,,,Low,No documentation,,,,,,,,,Low,No,,David Healy,,,,
Substance Abuse Counselor Licensure,Substance Abuse Counselor Licensure,Department of Health (AHS) / Division of Alcohol and Drug Abuse Programs (ADAP),,,Jerri Brouillette,jerri.brouillette@state.vt.us,,,,,Licensing,,,,,,No access to data,,,,None,No,,,Low,No documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
Recovery Centers/Recovery Support Services,Recovery Centers/Recovery Support Services,Department of Health (AHS) / Division of Alcohol and Drug Abuse Programs (ADAP),,,Evan Smith,evan.smith@state.vt.us,,,,,Unknown,,,,,,No access to data,,,,None,No,,,Low,No documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
Halfway and Transitional Housing,Halfway and Transitional Housing,Department of Health (AHS) / Division of Alcohol and Drug Abuse Programs (ADAP),,,Jackie Corbally,jackie.corbally@state.vt.us,,,,,Unknown,,,,,,No access to data,,,,None,No,,,Low,No documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
Adolescent Treatment Enhancement Project,Adolescent Treatment Enhancement Project,Department of Health (AHS) / Division of Alcohol and Drug Abuse Programs (ADAP),,,Amy Danielson,amy.danielson@state.vt.us,,,,,Youth,,,,,,No access to data,,,,None,No,,,Low,No documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
Public Inebriate Program,Public Inebriate Program,Department of Health (AHS) / Division of Alcohol and Drug Abuse Programs (ADAP),,,Jackie Corbally,jackie.corbally@state.vt.us,,,,,Unknown,,,,,,No access to data,,,,None,No,,,Low,No documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
Prescription Drug Plan (PDP) Case Management Web Site ,Prescription Drug Plan (PDP) Case Management Web Site ,Department of Vermont Health Access (AHS DVHA) / ,,,Lisa Carpenter,lisa.carpenter@state.vt.us,,"OVHABase application, forward-only architecture; the PDP (Prescription Drug Plan) system was originally commissioned as the Medicare Part D call center case tracking application. It was redeployed as a web application under the OVHABase framewrok and remains in service to this day. It is the case management system for Medicaid staff providing services to beneficiaries who have problems obtaining prescription drugs under Medicare/Medicaid.",,,Unknown,,,,,,No access to data,,,,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
Parents as Teachers,Parents as Teachers,Department of Health (AHS) / ,,,John Burley,john.burley@state.vt.us,," database supports the ""Parents as Teachers"" application which is an emergency replacement for the ""Visit Tracker"" application. Reports include Assessment, Child, Family, Goal, Group, HomeVisit, HomeVisitOutcome, Referral, ScreeningFollowUp, Screening",,,Youth,,,,,,No access to data,,,,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
Performance Indicator Project Reports,Performance Indicator Project Reports,Department of Mental Health / ,,http://mentalhealth.vermont.gov/report/pip,Tyler Blouin,tyler.blouin@state.vt.us,(802) 828-1705,The Vermont Mental Health Performance Indicator Project (PIP) supports data-based decision making within and across statewide public sector systems of behavioral health care. The Performance Indicator Project Reports are created by the Department of Mental Health Research and Statistics team.,,,"Survey
Services Provided
Occupancy/Days
Population",,1997-2014,,,,Aggregate data only,"Legislators
Advocates
Administrators
Policymakers
Practitioners (Health Care and Others)
Public","Report (PDF, Word)",,None,No,,,Low,Full current documentation,,,,,,,,,Low,Yes,,Charlie Hofmann,,,,
Inpatient Mental Health and Addiction Services Provided To Vermont Residents During 1990 - 2009,Inpatient Mental Health and Addiction Services Provided To Vermont Residents During 1990 - 2009,Department of Mental Health / ,,http://mentalhealth.vermont.gov/report/inpatient,Tyler Blouin,tyler.blouin@state.vt.us,(802) 828-1705,"This report provides a statistical overview of the hospitalization of Vermont residents for mental health and addiction services during 1990 through 2009. This overview includes episodes of hospitalization that occurred in general hospitals in Vermont, the Vermont State Hospital (VSH), the Brattleboro Retreat, the Veterans Affairs (VA) Hospital in White River Junction, and general and VA hospitals in New Hampshire, Massachusetts, and neighboring counties of New York. The report provides detailed information on utilization of inpatient mental health and addiction services by Vermont residents, including episodes of hospitalization, patient days, and unduplicated numbers of people served. This information is provided for each of the state’s counties and for each type of facility. Utilization profiles are presented for mental health and for addiction services, for young people, and for adults. ",,Vermont Uniform Hospital Discharge Data Set (VUHDDS)  Public Use Files,Utilization,,1999-2009,,,,Aggregate data only,"Legislators
Advocates
Administrators
Policymakers
Practitioners (Health Care and Others)
Public","Report (PDF, Word)",,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,David Healy,,,,
HRSA Health Provider Shortage Areas,HRSA Health Provider Shortage Areas,US Department of Health and Human Services  Health Resources and Services Administration / ,,http://hpsafind.hrsa.gov/HPSASearch.aspx,,,,"Below are lists of designated HPSAs that reflect the publication of the Federal Register notice on June 25, 2014. This Federal Register notice reflects the status of HPSAs as of May 23, 2014. The main impact of this Federal Register publication will be to officially withdraw those HPSAs that have been in ""proposed for withdrawal"" status since the last Federal Register notice was published on June 27, 2013. HPSAs that have been placed in “proposed for withdrawal” status since May 23, 2014 will remain in that status until the publication of the next Federal Register notice. If there are any questions about the status of a particular HPSA or area, we recommend that you contact the state primary care office in your state; a listing can be obtained at http://bhpr.hrsa.gov/shortage/hpsas/primarycareoffices.html.",,,Provider Information,,,,,,Aggregate data only,Public,Web Application - Public,,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
Provider Electronic Solutions Software,Provider Electronic Solutions Software,Department of Vermont Health Access (AHS DVHA) / ,,http://www.vtmedicaid.com/Downloads/software.html,,,,"HP Enterprise Services (HPES) Provider Electronic Solutions program is designed to<br />provide the billing provider with a faster and more efficient method of transaction<br />submission and processing. Handling time and errors are reduced, eliminating delays in<br />processing and decreasing turnaround times.<br />Provider Electronic Solutions is a transaction entry software package developed by HPES<br />that meets the standards implemented by HIPAA. The software allows for electronic<br />transaction submission directly to the Northeast Regional HIPAA Translator.",,,Unknown,,,,,,No access to data,,,,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
Vermont Active Medicaid Providers,Vermont Active Medicaid Providers,Department of Vermont Health Access (AHS DVHA) / ,,http://www.vtmedicaid.com/Downloads/providerLists.html,,,,"List of active medicaid providers in pdf, text, or excel format",,,Provider Information,,2015,,,,No access to data,Public,,,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
VITLDirect,VITLDirect,VITL - VT HIE Network / ,,https://www.vitl.net/connect/provider-services/vitldirect,,,,"VITLDirect enables you to electronically send or receive patient data. For example, when you transfer or refer a patient to another health care organization, with VITLDirect you can securely transmit a summary of care record to the other provider. If your EHR supports secure messaging, you may be able to do this without leaving your EHR. Likewise, when a patient is sent to you, a summary of care record from the sending provider could be be received electronically in your EHR.   <br /><br />VITLDirect uses the nationwide Direct Project communication standards. That means it works with any other system that also uses Direct standards. You can securely send patient data to providers across town, or across the country.",,,Clinical,,,,,,No access to data,Practitioners (Health Care and Others),,,None,No,,,Low,No documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
VITLAccess,VITLAccess,VITL - VT HIE Network / ,,https://www.vitl.net/connect/provider-services/vitlaccess,,,,"VITL assembles patient information received from health care organizations across the state and with patient consent, gives you access to this information through a single secure portal. This information is available through the statewide health information network, called the Vermont Health Information Exchange.<br />The following is available from most hospitals:<br /><br />Lab test results<br />Radiology exam reports<br />Patient demographics<br />Discharge summaries<br />Independent labs are providing test results as well. Patient medication histories may be available, as well as clinical summaries from some primary care providers. Over time, the amount and scope of patient information will increase as the Vermont Health Information Exchange continues its build out.",,,Clinical,,,,,,No access to data,Practitioners (Health Care and Others),,,None,No,,,Low,No documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
